epoch, ELBO, lpy, lpg,MSETest0,MAETest0,MAPETest0,R2Test0,MSETrain0,MAETrain0,MAPETrain0,R2Train0,tau0,ls0,amp0,MSETest1,MAETest1,MAPETest1,R2Test1,MSETrain1,MAETrain1,MAPETrain1,R2Train1,tau1,ls1,amp1,ls_g0,ls_g1,ls_g2,tau, nu, delta, kapa, vf, rhorc
140,4.68E+11,-1.83E+03,3.90E+11,3.52E+05,4.17E+02,1.44E+01,9.52E-01,2.04E+05,3.24E+02,9.82E+00,9.70E-01,3.35E+00,-2.30E+00,1.62E+00,1.91E+01,2.10E+00,3.34E+00,5.79E-01,5.17E+00,1.15E+00,1.76E+00,8.75E-01,2.02E+00,-3.20E+00,3.41E-01,0.735596,1,1,2.12744,-1.63644,0,-0.345733,0,0
150,3.59E+11,-1.99E+03,7.49E+11,3.27E+05,4.02E+02,1.32E+01,9.55E-01,1.82E+05,3.06E+02,9.08E+00,9.73E-01,3.36E+00,-2.33E+00,1.63E+00,1.87E+01,2.07E+00,3.30E+00,5.88E-01,4.53E+00,1.08E+00,1.64E+00,8.91E-01,2.01E+00,-3.24E+00,2.72E-01,0.732472,1,1,2.13077,-1.63977,0,-0.351863,0,0
160,3.08E+11,-2.13E+03,4.08E+11,3.01E+05,3.88E+02,1.27E+01,9.59E-01,1.67E+05,2.95E+02,8.87E+00,9.75E-01,3.36E+00,-2.35E+00,1.62E+00,1.89E+01,2.10E+00,3.35E+00,5.85E-01,4.30E+00,1.06E+00,1.62E+00,8.96E-01,2.01E+00,-3.27E+00,1.94E-01,0.730582,1,1,2.13217,-1.64117,0,-0.354067,0,0
170,3.87E+11,-2.19E+03,1.09E+12,2.98E+05,3.90E+02,1.31E+01,9.59E-01,1.70E+05,3.00E+02,9.19E+00,9.75E-01,3.36E+00,-2.37E+00,1.61E+00,1.87E+01,2.07E+00,3.30E+00,5.88E-01,4.18E+00,1.04E+00,1.58E+00,8.99E-01,2.00E+00,-3.29E+00,1.17E-01,0.728342,1,1,2.1342,-1.6432,0,-0.355113,0,0
180,1.04E+12,-2.24E+03,4.49E+11,2.87E+05,3.77E+02,1.19E+01,9.61E-01,1.60E+05,2.90E+02,8.72E+00,9.77E-01,3.37E+00,-2.38E+00,1.59E+00,1.88E+01,2.07E+00,3.31E+00,5.86E-01,4.13E+00,1.04E+00,1.58E+00,9.00E-01,2.00E+00,-3.31E+00,5.03E-02,0.726092,1,1,2.13606,-1.64506,0,-0.355412,0,0
190,6.03E+11,-2.28E+03,8.84E+11,2.76E+05,3.68E+02,1.15E+01,9.62E-01,1.52E+05,2.82E+02,8.37E+00,9.78E-01,3.37E+00,-2.39E+00,1.58E+00,1.89E+01,2.07E+00,3.32E+00,5.85E-01,3.96E+00,1.02E+00,1.56E+00,9.04E-01,2.00E+00,-3.32E+00,-4.02E-03,0.72462,1,1,2.13687,-1.64587,0,-0.355525,0,0
200,5.45E+11,-2.31E+03,6.69E+12,2.76E+05,3.66E+02,1.15E+01,9.62E-01,1.52E+05,2.82E+02,8.47E+00,9.78E-01,3.37E+00,-2.40E+00,1.56E+00,1.89E+01,2.07E+00,3.32E+00,5.84E-01,3.89E+00,1.02E+00,1.55E+00,9.06E-01,2.00E+00,-3.34E+00,-5.06E-02,0.721935,1,1,2.13927,-1.64827,0,-0.356526,0,0
210,1.06E+12,-2.34E+03,1.69E+11,2.70E+05,3.62E+02,1.11E+01,9.63E-01,1.49E+05,2.79E+02,8.29E+00,9.78E-01,3.37E+00,-2.41E+00,1.54E+00,1.91E+01,2.06E+00,3.31E+00,5.80E-01,3.79E+00,1.01E+00,1.54E+00,9.08E-01,2.00E+00,-3.35E+00,-8.28E-02,0.719499,1,1,2.14159,-1.65059,0,-0.35744,0,0
220,6.02E+11,-2.36E+03,3.69E+11,2.66E+05,3.60E+02,1.10E+01,9.64E-01,1.46E+05,2.76E+02,8.13E+00,9.79E-01,3.37E+00,-2.41E+00,1.52E+00,1.92E+01,2.06E+00,3.31E+00,5.79E-01,3.73E+00,1.01E+00,1.53E+00,9.10E-01,2.00E+00,-3.36E+00,-1.01E-01,0.718121,1,1,2.14272,-1.65172,0,-0.357756,0,0
230,2.61E+11,-2.38E+03,4.54E+11,2.64E+05,3.59E+02,1.11E+01,9.64E-01,1.45E+05,2.75E+02,8.12E+00,9.79E-01,3.37E+00,-2.42E+00,1.50E+00,1.92E+01,2.06E+00,3.31E+00,5.77E-01,3.66E+00,1.00E+00,1.52E+00,9.12E-01,1.99E+00,-3.37E+00,-1.10E-01,0.71663,1,1,2.14395,-1.65295,0,-0.357972,0,0
240,2.96E+11,-1.94E+03,1.20E+12,2.74E+05,3.69E+02,1.25E+01,9.63E-01,1.42E+05,2.74E+02,8.44E+00,9.79E-01,3.34E+00,-2.42E+00,1.52E+00,1.94E+01,2.08E+00,3.34E+00,5.74E-01,3.84E+00,1.02E+00,1.54E+00,9.07E-01,2.03E+00,-3.40E+00,-7.34E-02,0.696991,1,1,2.17388,-1.68288,0,-0.321262,0,0
250,6.81E+11,-2.08E+03,2.26E+11,2.59E+05,3.53E+02,1.06E+01,9.65E-01,1.17E+05,2.47E+02,7.02E+00,9.83E-01,3.27E+00,-2.42E+00,1.59E+00,1.87E+01,2.04E+00,3.28E+00,5.89E-01,3.29E+00,9.45E-01,1.43E+00,9.21E-01,2.09E+00,-3.46E+00,-7.21E-03,0.665049,1,1,2.22498,-1.73398,0,-0.255735,0,0
260,3.48E+11,-2.21E+03,1.01E+12,2.52E+05,3.49E+02,1.05E+01,9.66E-01,1.26E+05,2.56E+02,7.37E+00,9.81E-01,3.24E+00,-2.42E+00,1.59E+00,1.93E+01,2.03E+00,3.26E+00,5.76E-01,3.00E+00,9.08E-01,1.37E+00,9.28E-01,2.11E+00,-3.49E+00,-2.70E-03,0.652903,1,1,2.2435,-1.7525,0,-0.232351,0,0
270,2.97E+11,-2.33E+03,2.99E+11,2.68E+05,3.61E+02,1.14E+01,9.63E-01,1.46E+05,2.78E+02,8.17E+00,9.79E-01,3.24E+00,-2.41E+00,1.57E+00,1.96E+01,2.03E+00,3.26E+00,5.68E-01,2.89E+00,8.99E-01,1.35E+00,9.30E-01,2.12E+00,-3.50E+00,-2.57E-02,0.647379,1,1,2.25028,-1.75928,0,-0.224006,0,0
280,3.64E+11,-2.37E+03,3.25E+11,2.78E+05,3.69E+02,1.18E+01,9.62E-01,1.53E+05,2.85E+02,8.53E+00,9.77E-01,3.26E+00,-2.43E+00,1.54E+00,1.94E+01,2.01E+00,3.25E+00,5.74E-01,2.95E+00,9.13E-01,1.37E+00,9.29E-01,2.13E+00,-3.51E+00,-5.27E-02,0.642468,1,1,2.25634,-1.76534,0,-0.222455,0,0
290,3.97E+11,-2.41E+03,5.45E+11,2.60E+05,3.56E+02,1.12E+01,9.64E-01,1.43E+05,2.74E+02,8.08E+00,9.79E-01,3.27E+00,-2.44E+00,1.51E+00,1.98E+01,2.02E+00,3.26E+00,5.64E-01,2.88E+00,9.05E-01,1.36E+00,9.30E-01,2.14E+00,-3.51E+00,-6.31E-02,0.637716,1,1,2.26175,-1.77075,0,-0.223013,0,0
300,6.57E+11,-2.44E+03,4.03E+11,2.54E+05,3.51E+02,1.11E+01,9.65E-01,1.40E+05,2.71E+02,7.91E+00,9.79E-01,3.28E+00,-2.44E+00,1.48E+00,1.99E+01,2.03E+00,3.27E+00,5.62E-01,2.84E+00,9.08E-01,1.36E+00,9.31E-01,2.14E+00,-3.51E+00,-6.24E-02,0.635312,1,1,2.26422,-1.77322,0,-0.22336,0,0
310,5.16E+11,-2.48E+03,2.45E+11,2.51E+05,3.49E+02,1.10E+01,9.66E-01,1.38E+05,2.69E+02,7.84E+00,9.80E-01,3.29E+00,-2.44E+00,1.44E+00,1.99E+01,2.02E+00,3.26E+00,5.62E-01,2.79E+00,9.02E-01,1.35E+00,9.33E-01,2.16E+00,-3.52E+00,-5.16E-02,0.629144,1,1,2.26788,-1.77688,0,-0.222434,0,0
320,2.68E+11,-2.51E+03,3.22E+12,2.52E+05,3.49E+02,1.11E+01,9.66E-01,1.39E+05,2.70E+02,7.86E+00,9.80E-01,3.30E+00,-2.44E+00,1.40E+00,1.99E+01,2.02E+00,3.26E+00,5.63E-01,2.76E+00,9.03E-01,1.35E+00,9.33E-01,2.17E+00,-3.52E+00,-3.97E-02,0.625132,1,1,2.27019,-1.77919,0,-0.221871,0,0
330,3.28E+11,-2.53E+03,7.12E+11,2.51E+05,3.49E+02,1.10E+01,9.66E-01,1.39E+05,2.69E+02,7.82E+00,9.80E-01,3.31E+00,-2.45E+00,1.37E+00,1.99E+01,2.03E+00,3.27E+00,5.62E-01,2.75E+00,9.04E-01,1.35E+00,9.34E-01,2.17E+00,-3.52E+00,-2.49E-02,0.623187,1,1,2.27117,-1.78017,0,-0.22167,0,0
340,4.03E+11,-2.56E+03,1.72E+13,2.49E+05,3.47E+02,1.09E+01,9.66E-01,1.37E+05,2.67E+02,7.74E+00,9.80E-01,3.31E+00,-2.45E+00,1.34E+00,2.00E+01,2.04E+00,3.29E+00,5.61E-01,2.73E+00,9.06E-01,1.35E+00,9.34E-01,2.17E+00,-3.52E+00,-9.74E-03,0.622137,1,1,2.27157,-1.78057,0,-0.221599,0,0
350,9.42E+11,-2.57E+03,2.79E+11,2.49E+05,3.46E+02,1.08E+01,9.66E-01,1.36E+05,2.67E+02,7.72E+00,9.80E-01,3.31E+00,-2.45E+00,1.30E+00,2.00E+01,2.06E+00,3.32E+00,5.60E-01,2.71E+00,9.08E-01,1.35E+00,9.34E-01,2.17E+00,-3.52E+00,6.12E-03,0.620185,1,1,2.27337,-1.78237,0,-0.22157,0,0
360,5.96E+11,-2.60E+03,4.18E+11,2.49E+05,3.46E+02,1.08E+01,9.66E-01,1.36E+05,2.67E+02,7.71E+00,9.80E-01,3.32E+00,-2.45E+00,1.27E+00,2.00E+01,2.06E+00,3.31E+00,5.60E-01,2.75E+00,9.17E-01,1.37E+00,9.34E-01,2.16E+00,-3.53E+00,2.06E-02,0.615923,1,1,2.27868,-1.78768,0,-0.221477,0,0
370,2.13E+11,-2.48E+03,3.81E+11,2.73E+05,3.68E+02,1.19E+01,9.63E-01,1.59E+05,2.90E+02,8.74E+00,9.77E-01,3.29E+00,-2.41E+00,1.23E+00,1.94E+01,2.09E+00,3.35E+00,5.73E-01,2.79E+00,9.25E-01,1.38E+00,9.33E-01,2.17E+00,-3.54E+00,4.15E-02,0.61141,1,1,2.28435,-1.79335,0,-0.222976,0,0
380,2.21E+11,-2.54E+03,1.85E+11,2.65E+05,3.62E+02,1.15E+01,9.64E-01,1.51E+05,2.82E+02,8.39E+00,9.78E-01,3.24E+00,-2.35E+00,1.19E+00,1.98E+01,2.07E+00,3.33E+00,5.65E-01,2.65E+00,8.92E-01,1.33E+00,9.36E-01,2.19E+00,-3.56E+00,7.10E-02,0.60689,1,1,2.29031,-1.79931,0,-0.226028,0,0
390,3.15E+11,-2.55E+03,3.49E+11,2.49E+05,3.47E+02,1.07E+01,9.66E-01,1.36E+05,2.66E+02,7.72E+00,9.80E-01,3.23E+00,-2.33E+00,1.16E+00,1.99E+01,2.06E+00,3.31E+00,5.62E-01,2.55E+00,8.79E-01,1.31E+00,9.38E-01,2.19E+00,-3.57E+00,7.15E-02,0.604359,1,1,2.29245,-1.80145,0,-0.22711,0,0
400,2.16E+11,-2.59E+03,4.35E+11,2.54E+05,3.51E+02,1.10E+01,9.65E-01,1.41E+05,2.71E+02,7.88E+00,9.79E-01,3.22E+00,-2.32E+00,1.12E+00,1.94E+01,2.04E+00,3.29E+00,5.74E-01,2.56E+00,8.82E-01,1.31E+00,9.38E-01,2.20E+00,-3.58E+00,5.37E-02,0.602688,1,1,2.29331,-1.80231,0,-0.227497,0,0
410,4.61E+11,4.07E+01,4.27E+11,7.20E+05,5.53E+02,1.96E+01,9.02E-01,4.28E+05,3.82E+02,1.46E+01,9.37E-01,3.29E+00,-2.39E+00,1.15E+00,2.05E+01,2.07E+00,3.35E+00,5.48E-01,4.01E+00,1.08E+00,1.63E+00,9.03E-01,2.14E+00,-3.52E+00,-2.26E-02,0.565069,1,1,2.35668,-1.86568,0,-0.290685,0,0
420,2.06E+11,-1.52E+03,5.70E+11,4.38E+05,4.37E+02,1.61E+01,9.40E-01,1.55E+05,2.58E+02,8.08E+00,9.77E-01,3.37E+00,-2.49E+00,1.20E+00,1.97E+01,2.07E+00,3.34E+00,5.68E-01,3.76E+00,1.03E+00,1.55E+00,9.09E-01,2.06E+00,-3.48E+00,-7.00E-02,0.521966,1,1,2.43598,-1.94498,0,-0.36981,0,0
430,2.10E+11,-2.27E+03,1.83E+11,2.92E+05,3.61E+02,1.08E+01,9.60E-01,9.61E+04,2.23E+02,6.43E+00,9.86E-01,3.40E+00,-2.53E+00,1.17E+00,1.94E+01,2.06E+00,3.30E+00,5.73E-01,3.38E+00,9.94E-01,1.49E+00,9.18E-01,2.03E+00,-3.48E+00,-5.99E-02,0.507496,1,1,2.46405,-1.97305,0,-0.397803,0,0
440,2.46E+11,-2.50E+03,2.91E+11,2.66E+05,3.57E+02,1.06E+01,9.64E-01,1.17E+05,2.47E+02,7.16E+00,9.83E-01,3.41E+00,-2.53E+00,1.10E+00,1.94E+01,2.06E+00,3.32E+00,5.73E-01,3.13E+00,9.73E-01,1.46E+00,9.24E-01,2.02E+00,-3.49E+00,-3.20E-02,0.502467,1,1,2.47398,-1.98298,0,-0.407705,0,0
450,5.35E+11,-2.60E+03,2.89E+11,2.79E+05,3.68E+02,1.13E+01,9.62E-01,1.38E+05,2.70E+02,7.95E+00,9.80E-01,3.41E+00,-2.53E+00,1.03E+00,1.91E+01,2.07E+00,3.33E+00,5.79E-01,3.09E+00,9.71E-01,1.45E+00,9.25E-01,2.02E+00,-3.49E+00,-6.26E-03,0.500691,1,1,2.47749,-1.98649,0,-0.411206,0,0
460,3.32E+11,-2.64E+03,2.78E+11,2.82E+05,3.73E+02,1.19E+01,9.61E-01,1.48E+05,2.81E+02,8.35E+00,9.78E-01,3.42E+00,-2.53E+00,9.83E-01,1.89E+01,2.06E+00,3.31E+00,5.85E-01,3.02E+00,9.62E-01,1.44E+00,9.27E-01,2.02E+00,-3.50E+00,1.11E-02,0.500052,1,1,2.47873,-1.98773,0,-0.412444,0,0
470,1.88E+11,-2.68E+03,2.71E+11,2.73E+05,3.63E+02,1.13E+01,9.63E-01,1.41E+05,2.74E+02,8.05E+00,9.79E-01,3.42E+00,-2.53E+00,9.45E-01,1.88E+01,2.05E+00,3.29E+00,5.86E-01,3.00E+00,9.59E-01,1.43E+00,9.28E-01,2.02E+00,-3.50E+00,1.99E-02,0.499814,1,1,2.47917,-1.98817,0,-0.412881,0,0
480,2.97E+11,-2.71E+03,4.18E+11,2.66E+05,3.56E+02,1.08E+01,9.64E-01,1.36E+05,2.68E+02,7.82E+00,9.80E-01,3.42E+00,-2.54E+00,9.08E-01,1.86E+01,2.04E+00,3.27E+00,5.92E-01,3.03E+00,9.66E-01,1.44E+00,9.27E-01,2.02E+00,-3.49E+00,2.79E-02,0.49972,1,1,2.47933,-1.98833,0,-0.413036,0,0
490,3.09E+11,-2.74E+03,4.03E+11,2.63E+05,3.54E+02,1.07E+01,9.64E-01,1.36E+05,2.67E+02,7.79E+00,9.80E-01,3.43E+00,-2.54E+00,8.70E-01,1.83E+01,2.04E+00,3.27E+00,5.98E-01,3.11E+00,9.81E-01,1.46E+00,9.25E-01,2.03E+00,-3.49E+00,4.26E-02,0.499673,1,1,2.47938,-1.98838,0,-0.41309,0,0
,,,,4.27E+01,,,,,,,,,,,4.277849927,,,,,,,,,,,,,,,,,,,
