epoch, ELBO, lpy, lpg,MSETest0,MAETest0,MAPETest0,R2Test0,MSETrain0,MAETrain0,MAPETrain0,R2Train0,tau0,ls0,amp0,MSETest1,MAETest1,MAPETest1,R2Test1,MSETrain1,MAETrain1,MAPETrain1,R2Train1,tau1,ls1,amp1,
0, 2.877896e+03, 2.877896e+03, 0.000000e+00,6.196486e+06,2.186149e+03,2.119688e+02,-1.902335e-02,6.860616e+06,2.339453e+03,1.880398e+02,1.275684e-03,-9.999972e-03,-9.999982e-03,-9.999990e-03,4.079822e+01,3.408993e+00,6.126067e+00,-1.221356e-02,3.502736e+01,3.807551e+00,5.976210e+00,1.228449e-02,9.999999e-03,-9.999998e-03,9.999998e-03,
10, 2.766205e+03, 2.766205e+03, 0.000000e+00,6.197677e+06,2.184774e+03,2.130859e+02,-1.921925e-02,6.822311e+06,2.331030e+03,1.884852e+02,6.852011e-03,5.528978e-04,-8.767191e-02,3.121409e-02,4.195599e+01,3.321162e+00,6.050521e+00,-4.093826e-02,3.264467e+01,3.627326e+00,5.727172e+00,7.947254e-02,9.633473e-02,-9.462243e-02,9.365251e-02,
20, 2.767027e+03, 2.767027e+03, 0.000000e+00,6.195008e+06,2.183895e+03,2.131906e+02,-1.878024e-02,6.819253e+06,2.330847e+03,1.885446e+02,7.297136e-03,4.914276e-03,-9.323027e-02,-2.516798e-02,4.196949e+01,3.278037e+00,5.997910e+00,-4.127323e-02,3.260893e+01,3.629611e+00,5.730119e+00,8.048033e-02,8.086379e-02,-1.285601e-01,1.280204e-01,
30, 2.765160e+03, 2.765160e+03, 0.000000e+00,6.200550e+06,2.185017e+03,2.130942e+02,-1.969179e-02,6.822746e+06,2.330473e+03,1.884704e+02,6.788603e-03,6.967132e-03,-8.487549e-02,-1.049738e-01,4.220560e+01,3.242002e+00,5.957191e+00,-4.713107e-02,3.251505e+01,3.623895e+00,5.721605e+00,8.312763e-02,7.979104e-02,-1.369207e-01,1.344926e-01,
40, 2.653594e+03, 2.653594e+03, 0.000000e+00,6.197479e+06,2.184356e+03,2.129296e+02,-1.918673e-02,6.815910e+06,2.329912e+03,1.884911e+02,7.783828e-03,8.092202e-03,-1.043039e-01,-1.685677e-01,4.645638e+01,3.914471e+00,6.852720e+00,-1.525940e-01,2.975232e+01,3.287264e+00,5.237179e+00,1.610320e-01,1.351935e-01,-2.078586e-01,1.630032e-01,
50, 2.476169e+03, 2.476169e+03, 0.000000e+00,6.135028e+06,2.166286e+03,2.130651e+02,-8.916456e-03,6.772022e+06,2.324256e+03,1.890761e+02,1.417263e-02,1.272537e-02,-1.778934e-01,-1.979831e-01,4.974921e+01,4.076794e+00,7.108549e+00,-2.342898e-01,2.530197e+01,2.958398e+00,4.737407e+00,2.865248e-01,2.571647e-01,-3.339789e-01,2.071260e-01,
60, 2.156277e+03, 2.156277e+03, 0.000000e+00,4.789941e+06,1.866255e+03,1.860845e+02,2.122855e-01,5.283377e+06,1.996458e+03,1.620463e+02,2.308801e-01,8.499641e-02,-3.067439e-01,-2.143468e-01,5.630130e+01,4.663180e+00,7.928943e+00,-3.968489e-01,2.274422e+01,2.750927e+00,4.418412e+00,3.586493e-01,4.032948e-01,-4.820431e-01,2.532983e-01,
70, 1.377958e+03, 1.377958e+03, 0.000000e+00,2.405864e+06,1.106978e+03,1.055107e+02,6.043513e-01,2.439118e+06,1.099692e+03,8.069150e+01,6.449289e-01,2.353761e-01,-4.456837e-01,-7.792186e-02,5.918934e+01,4.691108e+00,7.976434e+00,-4.685018e-01,2.151608e+01,2.711903e+00,4.329594e+00,3.932808e-01,4.940125e-01,-6.153382e-01,2.340082e-01,
80, 8.091518e+02, 8.091518e+02, 0.000000e+00,1.357479e+06,8.751581e+02,5.365928e+01,7.767601e-01,9.445622e+05,7.071804e+02,3.979876e+01,8.624967e-01,4.202379e-01,-5.928903e-01,7.317374e-02,5.371347e+01,4.494164e+00,7.625850e+00,-3.326441e-01,2.070841e+01,2.604346e+00,4.177334e+00,4.160558e-01,5.126588e-01,-7.602168e-01,2.210553e-01,
90, 3.023130e+02, 3.023130e+02, 0.000000e+00,1.154189e+06,7.688541e+02,3.888644e+01,8.101914e-01,5.758447e+05,5.364420e+02,2.534864e+01,9.161722e-01,6.110225e-01,-7.318123e-01,2.167807e-01,6.096214e+01,4.937162e+00,8.294672e+00,-5.124854e-01,1.805705e+01,2.433966e+00,3.883733e+00,4.908199e-01,5.493203e-01,-9.270389e-01,2.655443e-01,
