epoch, ELBO, lpy, lpg,MSETest0,MAETest0,MAPETest0,R2Test0,MSETrain0,MAETrain0,MAPETrain0,R2Train0,tau0,ls0,amp0,MSETest1,MAETest1,MAPETest1,R2Test1,MSETrain1,MAETrain1,MAPETrain1,R2Train1,tau1,ls1,amp1,ls_g0,ls_g1,ls_g2,tau, nu, delta, kapa, vf, rhorc
140,7.86E+11,-2.20E+03,8.92E+11,2.56E+05,3.61E+02,1.62E+01,9.62E-01,1.65E+05,2.98E+02,1.32E+01,9.75E-01,3.07E+00,-2.11E+00,1.54E+00,1.01E+01,1.68E+00,2.74E+00,7.32E-01,2.27E+00,8.41E-01,1.30E+00,9.38E-01,2.46E+00,-3.28E+00,4.72E-01,0.573894,1,1,2.15479,-1.66379,0,-0.00337704,0,0
150,4.85E+11,-2.27E+03,5.12E+11,2.53E+05,3.59E+02,1.64E+01,9.62E-01,1.57E+05,2.92E+02,1.28E+01,9.76E-01,3.07E+00,-2.13E+00,1.53E+00,9.97E+00,1.67E+00,2.72E+00,7.37E-01,2.22E+00,8.32E-01,1.29E+00,9.40E-01,2.45E+00,-3.30E+00,3.90E-01,0.553747,1,1,2.15908,-1.66808,0,-0.00867236,0,0
160,7.28E+11,-2.31E+03,2.97E+11,2.57E+05,3.60E+02,1.66E+01,9.62E-01,1.60E+05,2.95E+02,1.29E+01,9.75E-01,3.07E+00,-2.14E+00,1.51E+00,9.85E+00,1.66E+00,2.70E+00,7.40E-01,2.19E+00,8.26E-01,1.28E+00,9.41E-01,2.45E+00,-3.31E+00,3.14E-01,0.534411,1,1,2.16131,-1.67031,0,-0.0110723,0,0
170,2.98E+11,-2.35E+03,3.48E+11,2.57E+05,3.62E+02,1.67E+01,9.62E-01,1.61E+05,2.98E+02,1.31E+01,9.75E-01,3.07E+00,-2.14E+00,1.49E+00,9.68E+00,1.64E+00,2.68E+00,7.44E-01,2.17E+00,8.23E-01,1.27E+00,9.41E-01,2.45E+00,-3.32E+00,2.46E-01,0.517877,1,1,2.16257,-1.67157,0,-0.0119107,0,0
180,3.16E+11,-2.41E+03,2.11E+11,2.56E+05,3.62E+02,1.67E+01,9.62E-01,1.61E+05,2.98E+02,1.32E+01,9.75E-01,3.05E+00,-2.14E+00,1.46E+00,9.41E+00,1.62E+00,2.63E+00,7.51E-01,2.19E+00,8.29E-01,1.28E+00,9.41E-01,2.45E+00,-3.33E+00,1.84E-01,0.491131,1,1,2.16493,-1.67393,0,-0.00736163,0,0
190,2.91E+11,-2.46E+03,2.65E+11,2.54E+05,3.60E+02,1.66E+01,9.62E-01,1.60E+05,2.97E+02,1.30E+01,9.75E-01,3.05E+00,-2.15E+00,1.44E+00,9.58E+00,1.64E+00,2.67E+00,7.47E-01,2.22E+00,8.44E-01,1.30E+00,9.40E-01,2.44E+00,-3.35E+00,1.33E-01,0.471573,1,1,2.16635,-1.67535,0,-0.00543329,0,0
200,1.74E+11,-2.49E+03,7.23E+11,2.51E+05,3.58E+02,1.65E+01,9.63E-01,1.58E+05,2.95E+02,1.29E+01,9.76E-01,3.05E+00,-2.15E+00,1.41E+00,9.29E+00,1.62E+00,2.63E+00,7.55E-01,2.14E+00,8.38E-01,1.29E+00,9.42E-01,2.44E+00,-3.36E+00,1.05E-01,0.457035,1,1,2.16772,-1.67672,0,-0.00469563,0,0
210,3.32E+11,-2.28E+03,3.04E+11,3.41E+05,4.05E+02,1.77E+01,9.49E-01,2.17E+05,3.37E+02,1.55E+01,9.66E-01,3.00E+00,-2.14E+00,1.37E+00,9.15E+00,1.62E+00,2.62E+00,7.58E-01,2.04E+00,8.13E-01,1.25E+00,9.45E-01,2.44E+00,-3.38E+00,8.87E-02,0.42857,1,1,2.1948,-1.7038,0,0.0268273,0,0
220,2.59E+11,-2.37E+03,2.49E+11,3.10E+05,3.95E+02,1.77E+01,9.54E-01,2.08E+05,3.37E+02,1.56E+01,9.68E-01,2.97E+00,-2.14E+00,1.35E+00,9.27E+00,1.62E+00,2.62E+00,7.55E-01,2.03E+00,8.20E-01,1.25E+00,9.45E-01,2.44E+00,-3.40E+00,7.38E-02,0.408853,1,1,2.2155,-1.7245,0,0.0504207,0,0
230,1.82E+11,-1.88E+03,6.60E+11,2.56E+05,3.55E+02,1.57E+01,9.62E-01,1.50E+05,2.81E+02,1.19E+01,9.77E-01,2.97E+00,-2.16E+00,1.35E+00,1.13E+01,1.77E+00,2.93E+00,7.03E-01,2.79E+00,9.16E-01,1.43E+00,9.24E-01,2.45E+00,-3.42E+00,7.96E-02,0.394337,1,1,2.23654,-1.74554,0,0.0727008,0,0
240,3.47E+11,-1.37E+03,3.03E+11,4.19E+05,4.40E+02,1.97E+01,9.38E-01,2.37E+05,3.19E+02,1.46E+01,9.63E-01,3.06E+00,-2.25E+00,1.42E+00,9.82E+00,1.68E+00,2.70E+00,7.41E-01,1.89E+00,7.56E-01,1.17E+00,9.49E-01,2.53E+00,-3.54E+00,2.22E-01,0.361473,1,1,2.3147,-1.8237,0,0.157882,0,0
250,2.98E+11,-1.86E+03,5.07E+11,2.78E+05,3.74E+02,1.64E+01,9.59E-01,1.50E+05,2.75E+02,1.16E+01,9.77E-01,3.09E+00,-2.30E+00,1.43E+00,9.67E+00,1.66E+00,2.69E+00,7.45E-01,2.08E+00,8.03E-01,1.24E+00,9.43E-01,2.56E+00,-3.61E+00,2.49E-01,0.349189,1,1,2.34371,-1.85271,0,0.188245,0,0
260,3.42E+11,-2.12E+03,4.23E+11,2.37E+05,3.46E+02,1.41E+01,9.65E-01,1.29E+05,2.57E+02,1.05E+01,9.80E-01,3.10E+00,-2.32E+00,1.42E+00,9.44E+00,1.66E+00,2.65E+00,7.51E-01,1.63E+00,7.12E-01,1.09E+00,9.56E-01,2.57E+00,-3.66E+00,2.12E-01,0.342788,1,1,2.35462,-1.86362,0,0.199078,0,0
270,9.93E+11,-1.36E+03,2.24E+11,3.29E+05,4.06E+02,1.89E+01,9.51E-01,2.20E+05,3.31E+02,1.52E+01,9.66E-01,3.17E+00,-2.24E+00,1.29E+00,9.50E+00,1.64E+00,2.66E+00,7.49E-01,2.34E+00,8.45E-01,1.31E+00,9.37E-01,2.64E+00,-3.61E+00,7.65E-02,0.305156,1,1,2.4725,-1.9815,0,0.292599,0,0
280,4.11E+11,4.32E+02,3.39E+11,7.16E+05,5.89E+02,3.08E+01,8.93E-01,5.84E+05,5.21E+02,2.71E+01,9.10E-01,3.14E+00,-2.19E+00,1.24E+00,1.06E+01,1.76E+00,2.85E+00,7.20E-01,2.87E+00,8.94E-01,1.39E+00,9.22E-01,2.72E+00,-3.58E+00,4.87E-02,0.278369,1,1,2.56357,-2.07257,0,0.376633,0,0
290,2.84E+11,-1.49E+03,3.77E+11,4.48E+05,4.78E+02,2.25E+01,9.33E-01,3.18E+05,3.94E+02,1.89E+01,9.51E-01,3.07E+00,-2.18E+00,1.26E+00,9.73E+00,1.66E+00,2.70E+00,7.43E-01,2.19E+00,8.44E-01,1.30E+00,9.41E-01,2.78E+00,-3.61E+00,1.19E-01,0.259207,1,1,2.63463,-2.14363,0,0.444914,0,0
300,3.49E+11,-1.94E+03,3.52E+11,3.29E+05,4.08E+02,1.87E+01,9.51E-01,2.39E+05,3.47E+02,1.57E+01,9.63E-01,3.04E+00,-2.21E+00,1.28E+00,9.23E+00,1.64E+00,2.60E+00,7.56E-01,1.40E+00,6.65E-01,1.02E+00,9.62E-01,2.79E+00,-3.67E+00,1.86E-01,0.252549,1,1,2.6602,-2.1692,0,0.469219,0,0
310,2.41E+11,-2.23E+03,2.72E+11,2.72E+05,3.70E+02,1.70E+01,9.60E-01,1.75E+05,3.03E+02,1.30E+01,9.73E-01,3.03E+00,-2.24E+00,1.29E+00,9.38E+00,1.66E+00,2.65E+00,7.52E-01,1.34E+00,6.53E-01,9.96E-01,9.64E-01,2.80E+00,-3.71E+00,1.64E-01,0.25008,1,1,2.66931,-2.17831,0,0.477858,0,0
320,3.29E+11,-2.32E+03,1.27E+11,2.56E+05,3.58E+02,1.66E+01,9.62E-01,1.56E+05,2.87E+02,1.22E+01,9.76E-01,3.03E+00,-2.25E+00,1.28E+00,9.29E+00,1.66E+00,2.64E+00,7.55E-01,1.22E+00,6.25E-01,9.53E-01,9.67E-01,2.80E+00,-3.73E+00,1.06E-01,0.249122,1,1,2.67254,-2.18154,0,0.480928,0,0
330,1.93E+11,-2.38E+03,2.21E+11,2.47E+05,3.52E+02,1.64E+01,9.63E-01,1.53E+05,2.86E+02,1.22E+01,9.76E-01,3.03E+00,-2.26E+00,1.26E+00,9.39E+00,1.66E+00,2.64E+00,7.52E-01,1.24E+00,6.34E-01,9.66E-01,9.66E-01,2.79E+00,-3.74E+00,4.02E-02,0.248618,1,1,2.67371,-2.18271,0,0.482017,0,0
340,2.90E+11,-2.41E+03,2.05E+11,2.45E+05,3.52E+02,1.64E+01,9.64E-01,1.55E+05,2.89E+02,1.24E+01,9.76E-01,3.04E+00,-2.27E+00,1.23E+00,9.38E+00,1.66E+00,2.64E+00,7.52E-01,1.24E+00,6.36E-01,9.70E-01,9.66E-01,2.79E+00,-3.74E+00,-7.92E-03,0.248314,1,1,2.67413,-2.18313,0,0.482404,0,0
350,1.24E+11,-2.43E+03,2.43E+11,2.43E+05,3.50E+02,1.63E+01,9.64E-01,1.55E+05,2.89E+02,1.23E+01,9.76E-01,3.04E+00,-2.28E+00,1.20E+00,9.37E+00,1.66E+00,2.64E+00,7.53E-01,1.24E+00,6.35E-01,9.70E-01,9.66E-01,2.79E+00,-3.74E+00,-3.61E-02,0.248088,1,1,2.67429,-2.18329,0,0.482541,0,0
360,3.35E+11,-2.45E+03,2.65E+11,2.40E+05,3.46E+02,1.60E+01,9.64E-01,1.51E+05,2.85E+02,1.21E+01,9.77E-01,3.04E+00,-2.28E+00,1.16E+00,9.27E+00,1.65E+00,2.63E+00,7.55E-01,1.24E+00,6.38E-01,9.74E-01,9.66E-01,2.79E+00,-3.74E+00,-4.99E-02,0.247898,1,1,2.67434,-2.18334,0,0.48259,0,0
370,6.04E+11,-2.46E+03,2.27E+11,2.37E+05,3.42E+02,1.57E+01,9.65E-01,1.48E+05,2.82E+02,1.18E+01,9.77E-01,3.05E+00,-2.29E+00,1.13E+00,9.25E+00,1.65E+00,2.63E+00,7.56E-01,1.24E+00,6.39E-01,9.75E-01,9.66E-01,2.79E+00,-3.74E+00,-5.43E-02,0.2474,1,1,2.67571,-2.18471,0,0.482324,0,0
380,2.93E+11,-2.48E+03,1.93E+11,2.35E+05,3.40E+02,1.54E+01,9.65E-01,1.46E+05,2.80E+02,1.16E+01,9.77E-01,3.05E+00,-2.29E+00,1.10E+00,9.22E+00,1.65E+00,2.62E+00,7.56E-01,1.23E+00,6.37E-01,9.72E-01,9.67E-01,2.79E+00,-3.74E+00,-5.66E-02,0.24555,1,1,2.68369,-2.19269,0,0.480657,0,0
390,2.58E+11,-2.49E+03,6.68E+11,2.33E+05,3.38E+02,1.53E+01,9.65E-01,1.45E+05,2.78E+02,1.15E+01,9.78E-01,3.06E+00,-2.29E+00,1.06E+00,9.23E+00,1.65E+00,2.63E+00,7.56E-01,1.24E+00,6.40E-01,9.75E-01,9.66E-01,2.79E+00,-3.74E+00,-5.43E-02,0.244824,1,1,2.68653,-2.19553,0,0.480067,0,0
400,2.47E+11,-2.51E+03,2.79E+11,2.31E+05,3.37E+02,1.51E+01,9.66E-01,1.43E+05,2.76E+02,1.14E+01,9.78E-01,3.06E+00,-2.30E+00,1.03E+00,9.16E+00,1.64E+00,2.62E+00,7.58E-01,1.24E+00,6.40E-01,9.76E-01,9.66E-01,2.79E+00,-3.74E+00,-4.99E-02,0.244439,1,1,2.68754,-2.19654,0,0.479858,0,0
410,2.90E+11,-2.52E+03,2.43E+11,2.29E+05,3.35E+02,1.50E+01,9.66E-01,1.42E+05,2.75E+02,1.12E+01,9.78E-01,3.06E+00,-2.30E+00,9.89E-01,9.14E+00,1.64E+00,2.62E+00,7.59E-01,1.24E+00,6.42E-01,9.79E-01,9.66E-01,2.79E+00,-3.74E+00,-4.60E-02,0.244186,1,1,2.68793,-2.19693,0,0.479784,0,0
420,2.63E+11,-2.53E+03,4.51E+11,2.27E+05,3.34E+02,1.48E+01,9.66E-01,1.40E+05,2.73E+02,1.11E+01,9.78E-01,3.07E+00,-2.30E+00,9.52E-01,9.13E+00,1.65E+00,2.62E+00,7.59E-01,1.25E+00,6.43E-01,9.80E-01,9.66E-01,2.78E+00,-3.74E+00,-4.30E-02,0.243929,1,1,2.68813,-2.19713,0,0.479758,0,0
430,3.04E+11,-2.54E+03,3.44E+11,2.26E+05,3.32E+02,1.47E+01,9.66E-01,1.39E+05,2.72E+02,1.10E+01,9.78E-01,3.07E+00,-2.31E+00,9.15E-01,9.12E+00,1.65E+00,2.62E+00,7.59E-01,1.25E+00,6.45E-01,9.82E-01,9.66E-01,2.78E+00,-3.73E+00,-4.14E-02,0.243706,1,1,2.68821,-2.19721,0,0.479748,0,0
440,8.62E+12,-2.56E+03,2.58E+11,2.25E+05,3.31E+02,1.45E+01,9.67E-01,1.38E+05,2.71E+02,1.09E+01,9.79E-01,3.08E+00,-2.31E+00,8.78E-01,9.11E+00,1.65E+00,2.63E+00,7.59E-01,1.25E+00,6.46E-01,9.84E-01,9.66E-01,2.78E+00,-3.73E+00,-4.03E-02,0.243516,1,1,2.68824,-2.19724,0,0.479745,0,0
450,1.53E+11,-2.57E+03,2.72E+11,2.23E+05,3.29E+02,1.44E+01,9.67E-01,1.37E+05,2.70E+02,1.09E+01,9.79E-01,3.08E+00,-2.31E+00,8.41E-01,9.10E+00,1.65E+00,2.63E+00,7.60E-01,1.26E+00,6.48E-01,9.87E-01,9.66E-01,2.78E+00,-3.73E+00,-3.93E-02,0.243285,1,1,2.68827,-2.19727,0,0.479744,0,0
460,2.97E+11,-2.58E+03,2.60E+11,2.22E+05,3.28E+02,1.43E+01,9.67E-01,1.36E+05,2.69E+02,1.08E+01,9.79E-01,3.09E+00,-2.31E+00,8.04E-01,9.09E+00,1.65E+00,2.63E+00,7.60E-01,1.27E+00,6.51E-01,9.91E-01,9.66E-01,2.78E+00,-3.73E+00,-3.76E-02,0.243023,1,1,2.68828,-2.19728,0,0.479743,0,0
470,2.76E+11,-2.60E+03,3.38E+11,2.21E+05,3.27E+02,1.41E+01,9.67E-01,1.36E+05,2.68E+02,1.07E+01,9.79E-01,3.09E+00,-2.32E+00,7.68E-01,9.08E+00,1.65E+00,2.63E+00,7.60E-01,1.28E+00,6.54E-01,9.95E-01,9.65E-01,2.78E+00,-3.73E+00,-3.50E-02,0.242772,1,1,2.68828,-2.19728,0,0.479743,0,0
480,2.64E+11,-2.61E+03,3.79E+11,2.20E+05,3.26E+02,1.40E+01,9.67E-01,1.35E+05,2.67E+02,1.06E+01,9.79E-01,3.10E+00,-2.32E+00,7.31E-01,9.08E+00,1.65E+00,2.62E+00,7.60E-01,1.29E+00,6.57E-01,1.00E+00,9.65E-01,2.77E+00,-3.73E+00,-3.15E-02,0.242527,1,1,2.68829,-2.19729,0,0.479743,0,0
490,1.80E+11,-2.63E+03,3.50E+11,2.19E+05,3.25E+02,1.39E+01,9.67E-01,1.34E+05,2.66E+02,1.06E+01,9.79E-01,3.10E+00,-2.32E+00,6.95E-01,9.07E+00,1.65E+00,2.63E+00,7.60E-01,1.30E+00,6.61E-01,1.01E+00,9.65E-01,2.77E+00,-3.72E+00,-2.73E-02,0.242313,1,1,2.68831,-2.19731,0,0.479743,0,0
,,,,3.90E+01,,,,,,,,,,,3.011644069,,,,,,,,,,,,,,,,,,,
