epoch, ELBO, lpy, lpg,MSETest0,MAETest0,MAPETest0,R2Test0,MSETrain0,MAETrain0,MAPETrain0,R2Train0,tau0,ls0,amp0,MSETest1,MAETest1,MAPETest1,R2Test1,MSETrain1,MAETrain1,MAPETrain1,R2Train1,tau1,ls1,amp1,ls_g0,ls_g1,ls_g2,tau, nu, delta, kapa, vf, rhorc,
0, 4.082099e+10, 2.873173e+03, 7.674955e+08,5.993855e+06,2.154761e+03,1.909928e+02,-5.767975e-03,6.734703e+06,2.315818e+03,1.863486e+02,1.327583e-04,-1.999999e-02,4.298678e-08,-1.999999e-02,4.228732e+01,3.557771e+00,6.126525e+00,-2.195021e-02,3.610763e+01,3.828626e+00,6.084902e+00,1.872629e-02,2.000000e-02,-2.000000e-02,2.000000e-02,0.99005,1,1,1.828,-1.337,0,-0.09,0,0,
10, 1.544842e+10, 2.794368e+03, 2.867885e+08,5.967864e+06,2.146264e+03,1.909337e+02,-1.406724e-03,6.713121e+06,2.309565e+03,1.866805e+02,3.336939e-03,9.101951e-03,-7.308017e-02,-5.435428e-02,4.327864e+01,3.460584e+00,6.033655e+00,-4.590716e-02,3.445867e+01,3.689988e+00,5.895761e+00,6.353907e-02,5.988874e-02,-1.163555e-01,1.164776e-01,0.929865,1,1,1.88429,-1.39329,0,-0.0589439,0,0,
20, 2.147820e+08, 2.793792e+03, 3.616173e+08,5.967173e+06,2.146101e+03,1.909576e+02,-1.290805e-03,6.712726e+06,2.309547e+03,1.866814e+02,3.395576e-03,3.932487e-03,-6.162822e-02,-1.382063e-01,4.320338e+01,3.463315e+00,6.035329e+00,-4.408829e-02,3.445339e+01,3.690094e+00,5.895859e+00,6.368257e-02,6.057167e-02,-1.151130e-01,1.124932e-01,0.880398,1,1,1.93556,-1.44456,0,-0.0837916,0,0,
30, 1.670848e+08, 2.793795e+03, 1.800247e+08,5.966114e+06,2.146149e+03,1.908883e+02,-1.113086e-03,6.711785e+06,2.309483e+03,1.866734e+02,3.535295e-03,1.847678e-03,-5.819227e-02,-2.097926e-01,4.293284e+01,3.479439e+00,6.049243e+00,-3.755024e-02,3.445724e+01,3.690158e+00,5.895992e+00,6.357809e-02,6.361594e-02,-1.020649e-01,9.276638e-02,0.850188,1,1,1.97392,-1.48292,0,-0.112241,0,0,
40, 1.520059e+08, 2.792384e+03, 2.104965e+08,5.963935e+06,2.145651e+03,1.908745e+02,-7.474549e-04,6.709570e+06,2.309160e+03,1.866945e+02,3.864212e-03,4.573112e-03,-6.550194e-02,-2.858531e-01,4.302329e+01,3.472006e+00,6.042072e+00,-3.973609e-02,3.444276e+01,3.689324e+00,5.894718e+00,6.397163e-02,6.666142e-02,-1.146467e-01,9.509028e-02,0.837435,1,1,1.98949,-1.49849,0,-0.123443,0,0,
50, 4.300346e+08, 2.790493e+03, 2.704262e+08,5.960896e+06,2.145663e+03,1.908014e+02,-2.375422e-04,6.701871e+06,2.308792e+03,1.867420e+02,5.007203e-03,2.112746e-03,-9.657725e-02,-3.598057e-01,4.308218e+01,3.467867e+00,6.038351e+00,-4.115929e-02,3.443296e+01,3.688279e+00,5.893161e+00,6.423796e-02,6.515048e-02,-1.253575e-01,9.371787e-02,0.829127,1,1,1.99948,-1.50848,0,-0.126091,0,0,
60, 1.648988e+09, 2.786512e+03, 6.185711e+10,5.893514e+06,2.128508e+03,1.910463e+02,1.106917e-02,6.672796e+06,2.304750e+03,1.870287e+02,9.323912e-03,4.371337e-03,-1.716074e-01,-4.257517e-01,4.303141e+01,3.468870e+00,6.038246e+00,-3.993231e-02,3.443097e+01,3.689780e+00,5.895110e+00,6.429195e-02,6.364869e-02,-1.262978e-01,8.245681e-02,0.817628,1,1,2.01325,-1.52225,0,-0.120276,0,0,
70, 4.405257e+09, 2.775856e+03, 5.038665e+08,5.821398e+06,2.109944e+03,1.899975e+02,2.317016e-02,6.605832e+06,2.287778e+03,1.867817e+02,1.926560e-02,6.428003e-03,-2.717179e-01,-4.484881e-01,4.302440e+01,3.471035e+00,6.040350e+00,-3.976291e-02,3.445141e+01,3.695046e+00,5.902127e+00,6.373644e-02,6.257405e-02,-1.285835e-01,7.145134e-02,0.774072,1,1,2.07533,-1.58433,0,-0.0702662,0,0,
80, 1.031603e+08, 2.234983e+03, 1.747763e+09,3.610772e+06,1.546901e+03,1.253412e+02,3.941129e-01,3.912042e+06,1.590419e+03,1.206745e+02,4.191990e-01,1.095255e-01,-4.471136e-01,-3.716484e-01,4.278606e+01,3.508720e+00,6.083362e+00,-3.400316e-02,3.450952e+01,3.683506e+00,5.886659e+00,6.215714e-02,5.875565e-02,-8.240542e-02,1.319084e-02,0.714288,1,1,2.15789,-1.66689,0,-0.120128,0,0,
90, 9.948981e+08, 1.470810e+03, 8.694569e+08,1.456304e+06,9.382798e+02,5.555185e+01,7.556324e-01,1.236171e+06,8.248757e+02,4.792778e+01,8.164719e-01,3.239712e-01,-6.598886e-01,-1.575499e-01,4.331358e+01,3.456877e+00,6.029452e+00,-4.675152e-02,3.445512e+01,3.695350e+00,5.902561e+00,6.363572e-02,7.291486e-02,-8.161146e-02,7.792100e-04,0.686101,1,1,2.19751,-1.70651,0,-0.154801,0,0,
100, 5.260219e+08, 1.048478e+03, 1.996709e+09,9.161197e+05,7.001494e+02,3.157575e+01,8.462753e-01,6.955470e+05,6.082197e+02,2.837576e+01,8.967357e-01,5.464341e-01,-8.430231e-01,3.099833e-02,4.322682e+01,3.459177e+00,6.030855e+00,-4.465489e-02,3.442540e+01,3.688945e+00,5.893855e+00,6.444337e-02,6.065617e-02,-8.015372e-02,-1.369688e-02,0.672159,1,1,2.21502,-1.72402,0,-0.167624,0,0,
110, 6.721420e+07, 6.793467e+02, 1.397703e+08,8.167938e+05,6.444075e+02,2.795654e+01,8.629421e-01,3.618340e+05,4.382547e+02,1.912403e+01,9.462803e-01,7.538490e-01,-9.590259e-01,1.462316e-01,4.291558e+01,3.478247e+00,6.047636e+00,-3.713309e-02,3.442660e+01,3.686886e+00,5.891208e+00,6.441064e-02,6.846306e-02,-4.183201e-02,-5.007782e-02,0.654177,1,1,2.23583,-1.74483,0,-0.172452,0,0,
120, 2.376133e+08, 3.976137e+02, 2.180689e+08,7.930336e+05,6.339472e+02,2.707895e+01,8.669291e-01,2.339208e+05,3.535111e+02,1.474885e+01,9.652710e-01,9.439415e-01,-1.040527e+00,2.102343e-01,4.307837e+01,3.467718e+00,6.038223e+00,-4.106736e-02,3.442217e+01,3.687126e+00,5.891438e+00,6.453104e-02,6.475425e-02,-4.804465e-02,-5.281032e-02,0.646357,1,1,2.24521,-1.75421,0,-0.174162,0,0,
130, 1.082156e+10, 2.434148e+03, 1.097546e+10,9.229555e+06,2.461488e+03,2.096189e+02,-5.487179e-01,3.727290e+06,1.559668e+03,1.169945e+02,4.466282e-01,1.061996e+00,-1.126548e+00,2.578842e-01,4.717933e+01,3.477557e+00,6.136674e+00,-1.401744e-01,3.445900e+01,3.695715e+00,5.903083e+00,6.353029e-02,3.823160e-02,-8.049711e-02,-3.202411e-02,0.620814,1,1,2.28515,-1.79415,0,-0.136622,0,0,
140, 4.079987e+10, 1.359709e+03, 5.571520e+10,1.039681e+07,2.626962e+03,2.116509e+02,-7.445831e-01,1.935468e+06,1.025232e+03,5.962761e+01,7.126509e-01,1.039743e+00,-1.190192e+00,2.302195e-01,5.149889e+01,3.834246e+00,6.659541e+00,-2.445645e-01,3.440198e+01,3.688474e+00,5.892497e+00,6.507986e-02,8.062426e-02,-1.453334e-01,-9.469381e-04,0.58062,1,1,2.33505,-1.84405,0,-0.0883127,0,0,
150, 3.504605e+11, 3.140310e+02, 3.096472e+11,1.267099e+07,2.986594e+03,2.373450e+02,-1.126190e+00,6.043717e+05,5.450521e+02,2.059370e+01,9.102720e-01,1.073366e+00,-1.185254e+00,1.267466e-01,5.475685e+01,4.906647e+00,7.918472e+00,-3.232990e-01,2.921777e+01,3.190570e+00,5.164242e+00,2.059675e-01,9.400582e-02,-2.648583e-01,5.369410e-02,0.526391,1,1,2.39345,-1.90245,0,-0.0677911,0,0,
160, 1.109978e+10, -5.457432e+01, 9.194037e+09,1.290813e+07,3.044855e+03,2.470555e+02,-1.165983e+00,6.546258e+05,5.883866e+02,2.376942e+01,9.028110e-01,1.159016e+00,-1.170290e+00,4.146477e-02,5.583191e+01,4.625090e+00,7.637594e+00,-3.492799e-01,2.240244e+01,2.626918e+00,4.303100e+00,3.911835e-01,3.202278e-01,-5.120940e-01,2.076682e-01,0.491419,1,1,2.45786,-1.96686,0,-0.0562236,0,0,
170, 5.258437e+10, -3.095199e+02, 6.168171e+10,1.256230e+07,2.980617e+03,2.359438e+02,-1.107952e+00,5.519122e+05,5.239095e+02,1.984510e+01,9.180604e-01,1.269811e+00,-1.199546e+00,2.678108e-02,5.190724e+01,4.624993e+00,7.530766e+00,-2.544330e-01,2.000167e+01,2.424795e+00,3.980179e+00,4.564277e-01,5.397597e-01,-7.667318e-01,2.672277e-01,0.475224,1,1,2.48336,-1.99236,0,-0.0520148,0,0,
