epoch, ELBO, lpy, lpg,MSETest0,MAETest0,MAPETest0,R2Test0,MSETrain0,MAETrain0,MAPETrain0,R2Train0,tau0,ls0,amp0,MSETest1,MAETest1,MAPETest1,R2Test1,MSETrain1,MAETrain1,MAPETrain1,R2Train1,tau1,ls1,amp1,ls_g0,ls_g1,ls_g2,tau, nu, delta, kapa, vf, rhorc,
120, 1.469198e+11, 1.959462e+03, 3.158664e+11,6.206568e+06,2.201339e+03,1.325737e+02,8.199742e-02,6.452201e+06,2.269745e+03,1.337054e+02,8.697340e-02,8.940561e-02,-2.862816e-01,-6.869964e-01,1.896501e+01,2.360318e+00,3.676168e+00,5.546800e-01,1.884182e+01,2.303026e+00,3.639209e+00,5.844523e-01,6.802881e-01,-1.667448e+00,-1.502080e-01,0.782907,1,1,2.01257,-1.52157,0,-0.0261965,0,0,
130, 1.486641e+11, 1.876487e+03, 3.170064e+11,6.223369e+06,2.203071e+03,1.329933e+02,7.951244e-02,6.455454e+06,2.269901e+03,1.337837e+02,8.651304e-02,9.098976e-02,-2.675191e-01,-7.469258e-01,1.693362e+01,2.094645e+00,3.279626e+00,6.023793e-01,1.576235e+01,2.051052e+00,3.238085e+00,6.523687e-01,7.999201e-01,-1.803729e+00,-2.040390e-01,0.754165,1,1,2.04299,-1.55199,0,-0.0532869,0,0,
140, 3.778542e+11, 1.701270e+03, 1.289986e+11,6.200840e+06,2.198737e+03,1.324493e+02,8.284467e-02,6.444662e+06,2.268094e+03,1.336758e+02,8.804021e-02,8.928277e-02,-3.059495e-01,-7.833466e-01,1.566933e+01,1.978836e+00,3.075245e+00,6.320663e-01,1.086701e+01,1.700230e+00,2.663940e+00,7.603332e-01,9.747888e-01,-1.944278e+00,-2.587844e-01,0.737892,1,1,2.05852,-1.56752,0,-0.0671094,0,0,
150, 5.227098e+11, 1.538245e+03, 3.712395e+11,6.201493e+06,2.199356e+03,1.325919e+02,8.274815e-02,6.448168e+06,2.268837e+03,1.337677e+02,8.754407e-02,8.900762e-02,-3.109117e-01,-8.616281e-01,1.450524e+01,1.842447e+00,2.863803e+00,6.594004e-01,7.768495e+00,1.433073e+00,2.241465e+00,8.286694e-01,1.195114e+00,-2.083549e+00,-2.151515e-01,0.730465,1,1,2.06432,-1.57332,0,-0.0721127,0,0,
160, 2.937510e+11, 1.438150e+03, 2.736238e+11,6.199967e+06,2.199277e+03,1.324617e+02,8.297380e-02,6.443501e+06,2.268157e+03,1.336670e+02,8.820449e-02,9.164975e-02,-3.022290e-01,-9.534498e-01,1.342373e+01,1.789400e+00,2.775073e+00,6.847956e-01,6.512423e+00,1.310024e+00,2.041886e+00,8.563715e-01,1.408142e+00,-2.188871e+00,-2.034547e-01,0.72653,1,1,2.06647,-1.57547,0,-0.0739213,0,0,
170, 2.186045e+11, 1.392310e+03, 2.394494e+11,6.199158e+06,2.199237e+03,1.324506e+02,8.309354e-02,6.441187e+06,2.267809e+03,1.336379e+02,8.853202e-02,8.878848e-02,-3.103798e-01,-1.029688e+00,1.243430e+01,1.757185e+00,2.714454e+00,7.080286e-01,5.828755e+00,1.242717e+00,1.931461e+00,8.714495e-01,1.581580e+00,-2.258616e+00,-2.331083e-01,0.72277,1,1,2.06907,-1.57807,0,-0.0745817,0,0,
180, 2.790402e+11, 1.375422e+03, 2.137690e+11,6.187374e+06,2.195429e+03,1.323459e+02,8.483639e-02,6.429981e+06,2.265290e+03,1.335833e+02,9.011766e-02,9.325013e-02,-3.496044e-01,-1.085547e+00,1.199647e+01,1.734023e+00,2.672578e+00,7.183092e-01,5.422688e+00,1.200464e+00,1.860744e+00,8.804051e-01,1.704102e+00,-2.299733e+00,-2.325789e-01,0.720661,1,1,2.0701,-1.5791,0,-0.0748189,0,0,
190, 2.467332e+11, 1.357682e+03, 2.169246e+11,6.121861e+06,2.182715e+03,1.320308e+02,9.452632e-02,6.389283e+06,2.258865e+03,1.334174e+02,9.587675e-02,9.588798e-02,-4.387015e-01,-1.124891e+00,1.166800e+01,1.705435e+00,2.622875e+00,7.260222e-01,4.974557e+00,1.152667e+00,1.781675e+00,8.902884e-01,1.776287e+00,-2.340658e+00,-1.929337e-01,0.718742,1,1,2.07049,-1.57949,0,-0.0749041,0,0,
200, 1.081236e+11, 1.324527e+03, 3.891028e+11,6.101993e+06,2.177666e+03,1.318048e+02,9.746492e-02,6.373864e+06,2.254394e+03,1.332006e+02,9.805866e-02,1.022140e-01,-5.563972e-01,-1.161250e+00,1.143423e+01,1.678400e+00,2.581432e+00,7.315113e-01,4.432869e+00,1.093112e+00,1.685355e+00,9.022351e-01,1.827287e+00,-2.400339e+00,-1.845074e-01,0.716453,1,1,2.0707,-1.5797,0,-0.0749361,0,0,
210, 3.582524e+11, 1.302185e+03, 1.991027e+11,6.094517e+06,2.175856e+03,1.319238e+02,9.857067e-02,6.368549e+06,2.253172e+03,1.333265e+02,9.881066e-02,1.004114e-01,-6.045126e-01,-1.212159e+00,1.150896e+01,1.668415e+00,2.566596e+00,7.297564e-01,4.222814e+00,1.072722e+00,1.650319e+00,9.068678e-01,1.881180e+00,-2.479013e+00,-1.748080e-01,0.711528,1,1,2.07269,-1.58169,0,-0.0754824,0,0,
220, 3.233843e+11, 1.273039e+03, 5.780076e+11,6.104839e+06,2.178084e+03,1.319473e+02,9.704405e-02,6.371056e+06,2.253707e+03,1.332780e+02,9.845600e-02,1.010066e-01,-6.188844e-01,-1.279733e+00,1.118689e+01,1.652235e+00,2.538342e+00,7.373191e-01,3.991658e+00,1.058157e+00,1.622025e+00,9.119658e-01,1.928380e+00,-2.561701e+00,-1.743937e-01,0.707441,1,1,2.07403,-1.58303,0,-0.0758194,0,0,
230, 1.613899e+11, 1.245520e+03, 1.948679e+11,6.099263e+06,2.177290e+03,1.319154e+02,9.786881e-02,6.369826e+06,2.253695e+03,1.333126e+02,9.863006e-02,1.014743e-01,-6.255689e-01,-1.341907e+00,1.084935e+01,1.654742e+00,2.538915e+00,7.452449e-01,3.751213e+00,1.038553e+00,1.585592e+00,9.172687e-01,1.974825e+00,-2.631542e+00,-1.703246e-01,0.703955,1,1,2.07457,-1.58357,0,-0.0759405,0,0,
240, 3.226425e+11, 1.227792e+03, 2.871722e+11,6.120559e+06,2.180494e+03,1.319572e+02,9.471890e-02,6.372928e+06,2.253716e+03,1.332592e+02,9.819102e-02,1.004847e-01,-6.290649e-01,-1.400853e+00,1.079093e+01,1.659290e+00,2.543129e+00,7.466167e-01,3.580518e+00,1.020265e+00,1.552514e+00,9.210333e-01,2.025129e+00,-2.678583e+00,-1.616011e-01,0.701309,1,1,2.07496,-1.58396,0,-0.0759842,0,0,
250, 3.870635e+11, 1.227403e+03, 5.206987e+11,6.110855e+06,2.179178e+03,1.319475e+02,9.615419e-02,6.371226e+06,2.253757e+03,1.332921e+02,9.843185e-02,1.014287e-01,-6.336993e-01,-1.457958e+00,1.083215e+01,1.648542e+00,2.525605e+00,7.456487e-01,3.505113e+00,1.010582e+00,1.534346e+00,9.226963e-01,2.061472e+00,-2.730360e+00,-1.182951e-01,0.689167,1,1,2.08647,-1.59547,0,-0.075994,0,0,
260, 2.220841e+11, 1.221957e+03, 1.376002e+11,6.100372e+06,2.177583e+03,1.319255e+02,9.770478e-02,6.370058e+06,2.253874e+03,1.333191e+02,9.859719e-02,1.009578e-01,-6.395135e-01,-1.510809e+00,1.033564e+01,1.660680e+00,2.536602e+00,7.573074e-01,3.293176e+00,9.830177e-01,1.490515e+00,9.273705e-01,2.086923e+00,-2.765408e+00,-1.672272e-01,0.682419,1,1,2.09079,-1.59979,0,-0.0759787,0,0,
270, 1.549749e+11, 1.213093e+03, 2.268411e+11,6.099079e+06,2.177318e+03,1.319276e+02,9.789602e-02,6.369890e+06,2.253863e+03,1.333284e+02,9.862091e-02,1.012630e-01,-6.446332e-01,-1.558689e+00,1.074042e+01,1.643367e+00,2.516709e+00,7.478028e-01,3.392810e+00,9.959395e-01,1.511682e+00,9.251731e-01,2.111338e+00,-2.772285e+00,-1.691533e-01,0.678554,1,1,2.09267,-1.60167,0,-0.0759974,0,0,
280, 1.081637e+12, 1.202142e+03, 4.770245e+11,6.100141e+06,2.177434e+03,1.319371e+02,9.773883e-02,6.369937e+06,2.253829e+03,1.333346e+02,9.861428e-02,1.012694e-01,-6.489241e-01,-1.602206e+00,1.067723e+01,1.651188e+00,2.523855e+00,7.492864e-01,3.242491e+00,9.754648e-01,1.477561e+00,9.284884e-01,2.124788e+00,-2.783850e+00,-1.316616e-01,0.674512,1,1,2.09357,-1.60257,0,-0.0760019,0,0,
290, 3.713339e+11, 1.188775e+03, 5.469966e+11,6.091657e+06,2.176162e+03,1.319164e+02,9.899372e-02,6.369654e+06,2.254092e+03,1.333603e+02,9.865435e-02,1.011482e-01,-6.534157e-01,-1.641562e+00,1.089466e+01,1.640318e+00,2.511328e+00,7.441809e-01,3.258800e+00,9.758924e-01,1.477998e+00,9.281287e-01,2.136822e+00,-2.791537e+00,-1.555607e-01,0.670193,1,1,2.09394,-1.60294,0,-0.0760041,0,0,
300, 1.230711e+11, 1.176745e+03, 1.522975e+11,6.082571e+06,2.174758e+03,1.319038e+02,1.003376e-01,6.370178e+06,2.254518e+03,1.333988e+02,9.858024e-02,1.011384e-01,-6.578873e-01,-1.677481e+00,1.101612e+01,1.654049e+00,2.530458e+00,7.413288e-01,3.202313e+00,9.666966e-01,1.461610e+00,9.293745e-01,2.146849e+00,-2.791830e+00,-1.392222e-01,0.665195,1,1,2.0942,-1.6032,0,-0.0760128,0,0,
310, 3.487762e+11, 1.164565e+03, 4.567786e+11,6.081162e+06,2.174463e+03,1.318922e+02,1.005461e-01,6.370259e+06,2.254573e+03,1.333980e+02,9.856876e-02,1.005953e-01,-6.622010e-01,-1.710476e+00,1.111257e+01,1.669390e+00,2.551514e+00,7.390642e-01,3.226550e+00,9.738105e-01,1.470256e+00,9.288399e-01,2.156313e+00,-2.772008e+00,-1.393140e-01,0.66024,1,1,2.09496,-1.60396,0,-0.0759087,0,0,
320, 2.473551e+11, 1.150463e+03, 4.970266e+11,6.099239e+06,2.177124e+03,1.319491e+02,9.787227e-02,6.369841e+06,2.253825e+03,1.333580e+02,9.862787e-02,1.014022e-01,-6.651551e-01,-1.741135e+00,1.125590e+01,1.683196e+00,2.570962e+00,7.356985e-01,3.224001e+00,9.758524e-01,1.471757e+00,9.288961e-01,2.161410e+00,-2.739409e+00,-1.233858e-01,0.654884,1,1,2.09578,-1.60478,0,-0.0757715,0,0,
