epoch, ELBO, lpy, lpg,MSETest0,MAETest0,MAPETest0,R2Test0,MSETrain0,MAETrain0,MAPETrain0,R2Train0,tau0,ls0,amp0,MSETest1,MAETest1,MAPETest1,R2Test1,MSETrain1,MAETrain1,MAPETrain1,R2Train1,tau1,ls1,amp1,ls_g0,ls_g1,ls_g2,tau, nu, delta, kapa, vf, rhorc,
0, 2.734422e+09, 2.874557e+03, 6.610858e+11,6.740970e+06,2.317416e+03,2.111267e+02,2.840846e-04,6.548658e+06,2.284004e+03,1.878325e+02,2.178744e-04,1.132230e-08,3.598516e-08,-1.999999e-02,4.628284e+01,3.790198e+00,6.876500e+00,1.083414e-02,3.527304e+01,3.591218e+00,5.817826e+00,1.591643e-02,2.000000e-02,-2.000000e-02,1.999999e-02,0.99005,1,1,1.828,-1.337,0,-0.09,0,0,
10, 2.306871e+09, 2.835396e+03, 1.021520e+14,6.715287e+06,2.309140e+03,2.113050e+02,4.092920e-03,6.531618e+06,2.279793e+03,1.880645e+02,2.819342e-03,-8.264846e-04,-4.655999e-02,-1.163960e-01,4.548742e+01,3.725775e+00,6.791157e+00,2.783401e-02,3.448304e+01,3.564347e+00,5.779459e+00,3.795662e-02,3.552127e-02,-1.295461e-01,1.222785e-01,0.945122,1,1,1.87941,-1.38841,0,-0.0494096,0,0,
20, 3.272934e+10, 2.833209e+03, 3.659774e+09,6.711325e+06,2.308111e+03,2.113443e+02,4.680490e-03,6.530181e+06,2.279415e+03,1.880978e+02,3.038786e-03,3.004554e-03,-4.357769e-02,-2.140475e-01,4.531856e+01,3.732008e+00,6.796586e+00,3.144274e-02,3.438977e+01,3.558909e+00,5.773491e+00,4.055885e-02,4.287108e-02,-1.631301e-01,1.425689e-01,0.897593,1,1,1.93168,-1.44068,0,-0.0479605,0,0,
30, 4.237677e+09, 2.832783e+03, 2.916028e+09,6.707996e+06,2.307883e+03,2.113456e+02,5.174295e-03,6.529912e+06,2.279527e+03,1.881008e+02,3.079801e-03,5.450576e-03,-2.221756e-02,-3.340487e-01,4.531705e+01,3.734878e+00,6.799581e+00,3.147504e-02,3.434285e+01,3.555275e+00,5.768605e+00,4.186772e-02,3.622726e-02,-1.845516e-01,1.528124e-01,0.857635,1,1,1.9772,-1.4862,0,-0.0246229,0,0,
40, 1.936100e+09, 2.829406e+03, 5.462808e+09,6.707767e+06,2.307667e+03,2.113203e+02,5.208238e-03,6.528078e+06,2.279209e+03,1.880902e+02,3.359738e-03,-1.376539e-04,-2.683004e-02,-4.367869e-01,4.525291e+01,3.726877e+00,6.789159e+00,3.284581e-02,3.428384e+01,3.551144e+00,5.762383e+00,4.351425e-02,4.433189e-02,-1.727202e-01,1.323732e-01,0.833497,1,1,2.00405,-1.51305,0,-0.0123151,0,0,
50, 7.065288e+09, 2.828790e+03, 3.347416e+09,6.700364e+06,2.306331e+03,2.113549e+02,6.306087e-03,6.526274e+06,2.278894e+03,1.881338e+02,3.635181e-03,-4.722705e-03,-3.935300e-02,-5.512034e-01,4.529128e+01,3.741563e+00,6.808378e+00,3.202590e-02,3.418300e+01,3.545969e+00,5.755033e+00,4.632739e-02,4.001840e-02,-1.980667e-01,1.457586e-01,0.784403,1,1,2.0593,-1.5683,0,0.0352622,0,0,
60, 1.909689e+09, 2.824469e+03, 1.257375e+09,6.692366e+06,2.303375e+03,2.114450e+02,7.492200e-03,6.512334e+06,2.276198e+03,1.881895e+02,5.763428e-03,4.714907e-03,-9.387445e-02,-6.389538e-01,4.522977e+01,3.714526e+00,6.773595e+00,3.334038e-02,3.417275e+01,3.541864e+00,5.747618e+00,4.661334e-02,4.093146e-02,-1.666994e-01,1.103610e-01,0.753281,1,1,2.10074,-1.60974,0,0.0534503,0,0,
70, 1.250578e+12, 2.795735e+03, 1.889618e+11,6.504513e+06,2.271919e+03,2.101696e+02,3.535169e-02,6.337320e+06,2.239613e+03,1.872458e+02,3.248280e-02,2.185422e-02,-2.314384e-01,-6.949922e-01,4.491252e+01,3.692911e+00,6.740558e+00,4.012072e-02,3.401939e+01,3.531431e+00,5.732584e+00,5.089202e-02,4.862063e-02,-2.080879e-01,1.070854e-01,0.738585,1,1,2.12188,-1.63088,0,0.0557364,0,0,
80, 3.738404e+11, 2.741430e+03, 4.534713e+10,6.496168e+06,2.271667e+03,2.102169e+02,3.658934e-02,6.326757e+06,2.238502e+03,1.873106e+02,3.409549e-02,3.068292e-02,-2.464469e-01,-8.916448e-01,4.309236e+01,3.459520e+00,6.411982e+00,7.902157e-02,3.234780e+01,3.364081e+00,5.488761e+00,9.752784e-02,6.526079e-02,-2.914266e-01,1.485189e-01,0.697138,1,1,2.18354,-1.69254,0,0.105513,0,0,
90, 5.445406e+10, 2.462892e+03, 1.348099e+12,6.507957e+06,2.272687e+03,2.107168e+02,3.484089e-02,6.330650e+06,2.238661e+03,1.875119e+02,3.350106e-02,3.154466e-02,-2.346006e-01,-1.075645e+00,3.431568e+01,2.889235e+00,5.470594e+00,2.665986e-01,2.517193e+01,2.746844e+00,4.540872e+00,2.977276e-01,2.222028e-01,-4.463713e-01,2.759672e-01,0.667018,1,1,2.21819,-1.72719,0,0.131783,0,0,
