epoch, ELBO, lpy, lpg,MSETest0,MAETest0,MAPETest0,R2Test0,MSETrain0,MAETrain0,MAPETrain0,R2Train0,tau0,ls0,amp0,MSETest1,MAETest1,MAPETest1,R2Test1,MSETrain1,MAETrain1,MAPETrain1,R2Train1,tau1,ls1,amp1,ls_g0,ls_g1,ls_g2,tau, nu, delta, kapa, vf, rhorc,
120, 1.119327e+12, -4.906528e+01, 6.381888e+11,8.018970e+05,6.703778e+02,3.206418e+01,8.693340e-01,8.364477e+05,6.579990e+02,3.223688e+01,8.783233e-01,7.207214e-01,-9.350787e-01,-1.577359e-01,4.755071e+01,4.615501e+00,7.061264e+00,-6.561091e-01,1.463746e+01,2.084301e+00,3.431547e+00,6.480192e-01,1.023257e+00,-1.568793e+00,5.711749e-01,0.319068,1,1,2.49956,-2.00856,0,0.259794,0,0,
130, 1.602788e+12, -6.924633e+02, 7.289397e+11,4.524605e+05,5.026006e+02,1.932914e+01,9.262733e-01,2.652362e+05,3.801663e+02,1.597299e+01,9.614165e-01,8.978917e-01,-1.036118e+00,-9.212484e-02,4.978076e+01,4.655064e+00,7.104481e+00,-7.337780e-01,1.123380e+01,1.797586e+00,2.951949e+00,7.298656e-01,1.063407e+00,-1.755900e+00,5.809237e-01,0.312684,1,1,2.51975,-2.02875,0,0.279943,0,0,
140, 6.296318e+11, -1.019051e+03, 4.450193e+11,4.512736e+05,4.991050e+02,1.938592e+01,9.264667e-01,2.882023e+05,3.927872e+02,1.653681e+01,9.580757e-01,1.083538e+00,-1.094746e+00,-4.679671e-02,5.621982e+01,4.955811e+00,7.503546e+00,-9.580393e-01,9.522645e+00,1.651959e+00,2.696015e+00,7.710130e-01,1.182962e+00,-1.911606e+00,4.780925e-01,0.309072,1,1,2.52761,-2.03661,0,0.287241,0,0,
150, 4.880756e+11, -1.362853e+03, 3.117493e+11,4.250994e+05,4.787286e+02,1.778771e+01,9.307317e-01,2.221019e+05,3.482492e+02,1.436229e+01,9.676912e-01,1.262782e+00,-1.133878e+00,-1.694744e-02,5.289627e+01,4.950428e+00,7.434253e+00,-8.422858e-01,8.497223e+00,1.567683e+00,2.548783e+00,7.956709e-01,1.331277e+00,-2.048716e+00,3.106239e-01,0.307765,1,1,2.53045,-2.03945,0,0.289885,0,0,
160, 3.783695e+10, -1.675091e+03, 3.469973e+10,4.029083e+05,4.579260e+02,1.630413e+01,9.343477e-01,1.903726e+05,3.191182e+02,1.227010e+01,9.723068e-01,1.432565e+00,-1.160151e+00,-4.779116e-03,5.130994e+01,4.856244e+00,7.379215e+00,-7.870367e-01,7.290956e+00,1.449307e+00,2.351737e+00,8.246775e-01,1.461208e+00,-2.185746e+00,1.678905e-01,0.307289,1,1,2.53149,-2.04049,0,0.29084,0,0,
170, 2.243918e+11, -1.949383e+03, 1.611056e+11,3.990182e+05,4.547869e+02,1.595179e+01,9.349815e-01,1.811457e+05,3.100702e+02,1.168992e+01,9.736490e-01,1.593116e+00,-1.174396e+00,-9.928880e-03,5.278018e+01,4.985336e+00,7.538621e+00,-8.382426e-01,6.474086e+00,1.368353e+00,2.214752e+00,8.443204e-01,1.577020e+00,-2.320786e+00,6.788064e-02,0.307112,1,1,2.53186,-2.04086,0,0.291185,0,0,
180, 4.708176e+10, -2.201557e+03, 4.170383e+11,3.913514e+05,4.481805e+02,1.557843e+01,9.362308e-01,1.725398e+05,3.008922e+02,1.097395e+01,9.749009e-01,1.745160e+00,-1.188408e+00,-1.792811e-02,5.318132e+01,4.816751e+00,7.306356e+00,-8.522137e-01,5.713637e+00,1.295882e+00,2.083835e+00,8.626066e-01,1.679883e+00,-2.448154e+00,1.092974e-02,0.307045,1,1,2.532,-2.041,0,0.291309,0,0,
190, 3.746599e+10, -2.416217e+03, 9.644250e+10,3.876321e+05,4.445252e+02,1.528019e+01,9.368369e-01,1.684571e+05,2.960214e+02,1.062283e+01,9.754948e-01,1.889677e+00,-1.200626e+00,-2.777782e-02,6.141118e+01,5.240012e+00,7.909335e+00,-1.138845e+00,5.144486e+00,1.248564e+00,1.992240e+00,8.762928e-01,1.772135e+00,-2.561666e+00,-1.966582e-02,0.307018,1,1,2.53206,-2.04106,0,0.291353,0,0,
200, 1.116207e+11, -2.615737e+03, 3.193209e+11,3.840957e+05,4.415694e+02,1.511168e+01,9.374131e-01,1.641667e+05,2.913385e+02,1.034851e+01,9.761189e-01,2.027461e+00,-1.210586e+00,-3.940910e-02,5.441409e+01,4.813754e+00,7.315888e+00,-8.951489e-01,4.658237e+00,1.197415e+00,1.898580e+00,8.879854e-01,1.857364e+00,-2.667630e+00,-1.996134e-02,0.307007,1,1,2.53208,-2.04108,0,0.291369,0,0,
210, 2.170788e+11, -2.777785e+03, 4.879618e+11,3.824029e+05,4.404466e+02,1.515099e+01,9.376889e-01,1.699313e+05,2.960672e+02,1.053706e+01,9.752804e-01,2.159119e+00,-1.214367e+00,-5.580707e-02,5.031558e+01,4.760514e+00,7.198603e+00,-7.524047e-01,4.328082e+00,1.158564e+00,1.826755e+00,8.959245e-01,1.934177e+00,-2.761928e+00,-1.131552e-02,0.306947,1,1,2.5323,-2.0413,0,0.291375,0,0,
220, 1.754611e+11, -2.899236e+03, 1.943525e+11,3.841486e+05,4.420294e+02,1.523162e+01,9.374045e-01,1.824305e+05,3.065627e+02,1.100340e+01,9.734621e-01,2.281226e+00,-1.209937e+00,-7.831065e-02,4.917798e+01,4.758242e+00,7.226869e+00,-7.127843e-01,4.105706e+00,1.128409e+00,1.775070e+00,9.012718e-01,1.993797e+00,-2.831350e+00,-4.281534e-02,0.306909,1,1,2.53242,-2.04142,0,0.291378,0,0,
