epoch, ELBO, lpy, lpg,MSETest0,MAETest0,MAPETest0,R2Test0,MSETrain0,MAETrain0,MAPETrain0,R2Train0,tau0,ls0,amp0,MSETest1,MAETest1,MAPETest1,R2Test1,MSETrain1,MAETrain1,MAPETrain1,R2Train1,tau1,ls1,amp1,
0, 2.885964e+03, 2.885964e+03, 0.000000e+00,6.468326e+06,2.214471e+03,1.520199e+02,-3.581239e-04,7.179884e+06,2.355268e+03,1.501044e+02,5.189431e-04,-9.999991e-03,-9.999946e-03,-9.999993e-03,4.751520e+01,4.429458e+00,6.748686e+00,1.502373e-03,3.969095e+01,4.203135e+00,6.209569e+00,2.449046e-03,9.999851e-03,-9.999986e-03,-9.999988e-03,
10, 2.778501e+03, 2.778501e+03, 0.000000e+00,6.504920e+06,2.219884e+03,1.527709e+02,-6.017572e-03,7.123759e+06,2.345847e+03,1.494142e+02,8.331848e-03,1.362293e-03,-9.512306e-02,-6.096404e-03,4.411956e+01,4.099537e+00,6.317107e+00,7.285920e-02,3.656333e+01,3.947168e+00,5.875421e+00,8.105533e-02,4.145275e-02,-9.894339e-02,7.306196e-02,
20, 2.466065e+03, 2.466065e+03, 0.000000e+00,6.087903e+06,2.179169e+03,1.375623e+02,5.847605e-02,6.752605e+06,2.317392e+03,1.383302e+02,5.999862e-02,5.296646e-02,-1.932599e-01,-3.231006e-02,3.837261e+01,3.730928e+00,5.837995e+00,1.936273e-01,3.090607e+01,3.486584e+00,5.282187e+00,2.232390e-01,1.369003e-01,-1.950966e-01,1.683881e-01,
30, 2.419935e+03, 2.419935e+03, 0.000000e+00,6.061544e+06,2.186799e+03,1.364756e+02,6.255257e-02,6.615994e+06,2.300230e+03,1.352305e+02,7.901563e-02,7.839465e-02,-2.844163e-01,-7.321543e-02,3.792823e+01,3.687535e+00,5.789321e+00,2.029655e-01,3.055845e+01,3.438521e+00,5.222610e+00,2.319758e-01,2.401573e-01,-2.547845e-01,2.125426e-01,
40, 2.417767e+03, 2.417767e+03, 0.000000e+00,6.074665e+06,2.186011e+03,1.368858e+02,6.052346e-02,6.603410e+06,2.296134e+03,1.351696e+02,8.076741e-02,8.677345e-02,-3.397201e-01,-1.729576e-01,3.816147e+01,3.700217e+00,5.803292e+00,1.980643e-01,3.062326e+01,3.453738e+00,5.242261e+00,2.303470e-01,2.937118e-01,-2.896665e-01,2.107249e-01,
50, 2.414789e+03, 2.414789e+03, 0.000000e+00,6.070203e+06,2.185408e+03,1.367747e+02,6.121345e-02,6.602242e+06,2.296362e+03,1.351625e+02,8.092998e-02,7.791905e-02,-3.305704e-01,-3.036374e-01,3.805089e+01,3.683909e+00,5.784581e+00,2.003881e-01,3.053701e+01,3.438948e+00,5.222622e+00,2.325145e-01,2.832013e-01,-3.045931e-01,1.878932e-01,
60, 2.412877e+03, 2.412877e+03, 0.000000e+00,6.062812e+06,2.184588e+03,1.366471e+02,6.235658e-02,6.602422e+06,2.296647e+03,1.352436e+02,8.090486e-02,8.341121e-02,-3.130137e-01,-4.260213e-01,3.791118e+01,3.670449e+00,5.766778e+00,2.033239e-01,3.047304e+01,3.429568e+00,5.209966e+00,2.341224e-01,2.590509e-01,-3.133601e-01,1.548756e-01,
70, 2.411531e+03, 2.411531e+03, 0.000000e+00,6.059458e+06,2.183871e+03,1.364838e+02,6.287528e-02,6.603073e+06,2.297062e+03,1.351652e+02,8.081430e-02,8.305328e-02,-3.161441e-01,-5.290726e-01,3.785429e+01,3.665513e+00,5.759998e+00,2.045194e-01,3.044182e+01,3.427271e+00,5.206620e+00,2.349071e-01,2.546500e-01,-3.239642e-01,1.197033e-01,
80, 2.407280e+03, 2.407280e+03, 0.000000e+00,6.063509e+06,2.184578e+03,1.366230e+02,6.224881e-02,6.602286e+06,2.296787e+03,1.351755e+02,8.092391e-02,8.145924e-02,-3.193544e-01,-6.290462e-01,3.766632e+01,3.638372e+00,5.722625e+00,2.084694e-01,3.027709e+01,3.406038e+00,5.177706e+00,2.390473e-01,2.646144e-01,-3.467032e-01,9.516256e-02,
90, 2.388930e+03, 2.388930e+03, 0.000000e+00,6.062838e+06,2.184603e+03,1.366478e+02,6.235259e-02,6.602130e+06,2.296743e+03,1.352070e+02,8.094554e-02,8.226771e-02,-3.144082e-01,-7.306782e-01,3.684223e+01,3.562138e+00,5.615300e+00,2.257872e-01,2.978615e+01,3.363152e+00,5.116786e+00,2.513859e-01,2.769010e-01,-4.053674e-01,1.155287e-01,
100, 2.336472e+03, 2.336472e+03, 0.000000e+00,6.061367e+06,2.184389e+03,1.366149e+02,6.257998e-02,6.602230e+06,2.296842e+03,1.352040e+02,8.093159e-02,8.259134e-02,-3.138204e-01,-8.257777e-01,3.409608e+01,3.308531e+00,5.256691e+00,2.834955e-01,2.820067e+01,3.186121e+00,4.868941e+00,2.912337e-01,2.972650e-01,-5.182319e-01,1.935178e-01,
