epoch, ELBO, lpy, lpg,MSETest0,MAETest0,MAPETest0,R2Test0,MSETrain0,MAETrain0,MAPETrain0,R2Train0,tau0,ls0,amp0,MSETest1,MAETest1,MAPETest1,R2Test1,MSETrain1,MAETrain1,MAPETrain1,R2Train1,tau1,ls1,amp1,
140, -1.091287e+02, -1.091287e+02, 0.000000e+00,2.862015e+06,1.121080e+03,5.700471e+01,5.431385e-01,2.490325e+05,3.590116e+02,1.444413e+01,9.639248e-01,1.191299e+00,-1.004000e+00,2.454001e-01,3.614932e+01,2.944032e+00,5.359532e+00,1.340977e-01,3.367551e+01,3.291757e+00,5.511325e+00,2.090770e-01,2.152431e-01,-6.330280e-01,5.227947e-01,
150, -3.000868e+02, -3.000868e+02, 0.000000e+00,2.600590e+06,1.071497e+03,5.426293e+01,5.848696e-01,3.118871e+05,4.026702e+02,1.673265e+01,9.548196e-01,1.365894e+00,-1.045004e+00,2.460265e-01,3.473207e+01,2.997789e+00,5.390830e+00,1.680458e-01,3.257704e+01,3.243378e+00,5.431395e+00,2.348762e-01,2.564437e-01,-7.278026e-01,5.536820e-01,
160, -6.184841e+02, -6.184841e+02, 0.000000e+00,2.730069e+06,1.094085e+03,5.392454e+01,5.642010e-01,1.978955e+05,3.238238e+02,1.295595e+01,9.713326e-01,1.527972e+00,-1.074091e+00,2.263450e-01,5.128362e+01,4.260703e+00,7.180217e+00,-2.284218e-01,3.058121e+01,3.017923e+00,5.107919e+00,2.817515e-01,2.666234e-01,-9.175297e-01,6.244233e-01,
170, -1.108732e+03, -1.108732e+03, 0.000000e+00,2.736468e+06,1.087989e+03,5.134634e+01,5.631795e-01,2.145869e+05,3.314937e+02,1.292904e+01,9.689146e-01,1.680733e+00,-1.101939e+00,2.010698e-01,5.037834e+01,4.203150e+00,7.136099e+00,-2.067372e-01,2.044362e+01,2.445333e+00,4.108150e+00,5.198490e-01,4.394781e-01,-1.148512e+00,6.834705e-01,
180, -1.496921e+03, -1.496921e+03, 0.000000e+00,2.490282e+06,1.036974e+03,4.872132e+01,6.024779e-01,2.264921e+05,3.415758e+02,1.346206e+01,9.671900e-01,1.825272e+00,-1.123513e+00,1.656345e-01,5.789007e+01,4.420665e+00,7.471503e+00,-3.866693e-01,1.423005e+01,1.989950e+00,3.314014e+00,6.657847e-01,7.133905e-01,-1.409960e+00,6.379963e-01,
190, -1.830973e+03, -1.830973e+03, 0.000000e+00,2.626452e+06,1.057242e+03,4.770111e+01,5.807412e-01,2.267072e+05,3.378682e+02,1.281628e+01,9.671589e-01,1.962723e+00,-1.144940e+00,1.284174e-01,5.939524e+01,4.531186e+00,7.600151e+00,-4.227233e-01,1.192339e+01,1.791406e+00,2.990175e+00,7.199601e-01,9.723907e-01,-1.653223e+00,4.195701e-01,
200, -2.106283e+03, -2.106283e+03, 0.000000e+00,2.345340e+06,1.000542e+03,4.522320e+01,6.256150e-01,2.208233e+05,3.345764e+02,1.274392e+01,9.680112e-01,2.094105e+00,-1.169598e+00,9.456058e-02,6.080015e+01,4.488305e+00,7.542272e+00,-4.563757e-01,9.213267e+00,1.566330e+00,2.581394e+00,7.836118e-01,1.179496e+00,-1.892242e+00,1.922390e-01,
210, -2.429781e+03, -2.429781e+03, 0.000000e+00,2.489671e+06,1.022985e+03,4.551353e+01,6.025756e-01,2.029733e+05,3.173964e+02,1.164395e+01,9.705970e-01,2.219959e+00,-1.193918e+00,6.233500e-02,6.096572e+01,4.603370e+00,7.722178e+00,-4.603417e-01,7.361470e+00,1.402311e+00,2.302847e+00,8.271042e-01,1.352971e+00,-2.110835e+00,-1.265891e-02,
220, -2.717536e+03, -2.717536e+03, 0.000000e+00,2.237373e+06,9.751791e+02,4.359125e+01,6.428497e-01,1.998801e+05,3.164484e+02,1.171890e+01,9.710451e-01,2.341084e+00,-1.217131e+00,3.287266e-02,6.289274e+01,4.627889e+00,7.748974e+00,-5.065007e-01,5.359438e+00,1.236427e+00,1.996526e+00,8.741251e-01,1.525340e+00,-2.336131e+00,-9.447907e-02,
230, -2.943492e+03, -2.943492e+03, 0.000000e+00,2.359075e+06,9.941859e+02,4.390714e+01,6.234224e-01,1.902501e+05,3.067986e+02,1.116380e+01,9.724401e-01,2.457335e+00,-1.231996e+00,4.543902e-04,5.099026e+01,3.954434e+00,6.841322e+00,-2.213947e-01,4.213672e+00,1.118087e+00,1.784847e+00,9.010352e-01,1.713863e+00,-2.511852e+00,-1.476578e-01,
240, -3.111589e+03, -3.111589e+03, 0.000000e+00,2.135761e+06,9.520723e+02,4.238431e+01,6.590699e-01,1.871733e+05,3.056161e+02,1.122146e+01,9.728858e-01,2.568896e+00,-1.237827e+00,-3.514270e-02,5.596399e+01,4.004708e+00,6.939345e+00,-3.405328e-01,3.707976e+00,1.047312e+00,1.661941e+00,9.129123e-01,1.893788e+00,-2.608598e+00,-2.172625e-01,
250, -3.265752e+03, -3.265752e+03, 0.000000e+00,2.225659e+06,9.643400e+02,4.221762e+01,6.447195e-01,1.745932e+05,2.942643e+02,1.061875e+01,9.747082e-01,2.674935e+00,-1.238610e+00,-7.015654e-02,5.377450e+01,3.802109e+00,6.655055e+00,-2.880869e-01,3.375207e+00,9.983076e-01,1.578233e+00,9.207279e-01,2.036358e+00,-2.658300e+00,-2.170963e-01,
260, -3.408910e+03, -3.408910e+03, 0.000000e+00,2.068243e+06,9.335020e+02,4.094157e+01,6.698477e-01,1.610617e+05,2.837238e+02,1.025830e+01,9.766684e-01,2.776361e+00,-1.239448e+00,-9.957147e-02,5.253883e+01,3.846491e+00,6.718829e+00,-2.584883e-01,3.275224e+00,9.786428e-01,1.543854e+00,9.230761e-01,2.135080e+00,-2.674172e+00,-1.901547e-01,
270, -3.501230e+03, -3.501230e+03, 0.000000e+00,2.093188e+06,9.348219e+02,4.049153e+01,6.658658e-01,1.556832e+05,2.783854e+02,9.939027e+00,9.774475e-01,2.871492e+00,-1.241133e+00,-1.237868e-01,5.258582e+01,3.759062e+00,6.563850e+00,-2.596140e-01,3.345116e+00,9.971902e-01,1.570035e+00,9.214346e-01,2.190781e+00,-2.681358e+00,-1.746484e-01,
280, -3.558413e+03, -3.558413e+03, 0.000000e+00,1.961621e+06,9.101869e+02,3.949789e+01,6.868677e-01,1.614755e+05,2.840062e+02,1.023020e+01,9.766084e-01,2.962039e+00,-1.245952e+00,-1.419947e-01,5.577274e+01,3.901344e+00,6.782184e+00,-3.359517e-01,3.221145e+00,9.792257e-01,1.538699e+00,9.243463e-01,2.209980e+00,-2.700819e+00,-1.468174e-01,
290, -3.692098e+03, -3.692098e+03, 0.000000e+00,1.993647e+06,9.131860e+02,3.932508e+01,6.817555e-01,1.459723e+05,2.695490e+02,9.534454e+00,9.788542e-01,3.048725e+00,-1.254630e+00,-1.561367e-01,5.599071e+01,3.957602e+00,6.899337e+00,-3.411729e-01,3.137666e+00,9.680663e-01,1.521141e+00,9.263069e-01,2.216438e+00,-2.718006e+00,-1.464356e-01,
300, -3.761334e+03, -3.761334e+03, 0.000000e+00,1.958451e+06,9.035396e+02,3.834417e+01,6.873738e-01,1.429745e+05,2.673369e+02,9.342102e+00,9.792885e-01,3.127724e+00,-1.266247e+00,-1.727029e-01,5.195921e+01,3.709543e+00,6.529660e+00,-2.446044e-01,3.032837e+00,9.552222e-01,1.501735e+00,9.287690e-01,2.224053e+00,-2.730354e+00,-1.473971e-01,
310, -3.738924e+03, -3.738924e+03, 0.000000e+00,1.787339e+06,8.724243e+02,3.663296e+01,7.146882e-01,1.596803e+05,2.837616e+02,1.010457e+01,9.768685e-01,3.194934e+00,-1.281798e+00,-1.924267e-01,5.095031e+01,3.909869e+00,6.796437e+00,-2.204378e-01,2.981874e+00,9.567218e-01,1.500338e+00,9.299659e-01,2.240483e+00,-2.746436e+00,-1.150063e-01,
320, -3.870585e+03, -3.870585e+03, 0.000000e+00,1.823907e+06,8.763430e+02,3.670841e+01,7.088509e-01,1.324018e+05,2.588552e+02,9.007992e+00,9.808201e-01,3.264820e+00,-1.311328e+00,-2.005181e-01,5.466853e+01,4.019855e+00,6.970015e+00,-3.095021e-01,2.953082e+00,9.545339e-01,1.492499e+00,9.306422e-01,2.258711e+00,-2.768801e+00,-7.714138e-02,
330, -3.957723e+03, -3.957723e+03, 0.000000e+00,1.824628e+06,8.763984e+02,3.673226e+01,7.087359e-01,1.307568e+05,2.576374e+02,8.960771e+00,9.810584e-01,3.336590e+00,-1.346618e+00,-2.073297e-01,5.386671e+01,3.852184e+00,6.756736e+00,-2.902956e-01,2.830124e+00,9.432989e-01,1.474239e+00,9.335300e-01,2.275197e+00,-2.790823e+00,-1.005026e-01,
340, -4.026981e+03, -4.026981e+03, 0.000000e+00,1.784037e+06,8.699342e+02,3.666272e+01,7.152154e-01,1.297403e+05,2.575070e+02,8.956451e+00,9.812056e-01,3.407303e+00,-1.378353e+00,-2.192567e-01,4.115938e+01,3.343116e+00,5.913378e+00,1.408916e-02,2.716355e+00,9.282517e-01,1.450647e+00,9.362021e-01,2.300894e+00,-2.808342e+00,-7.712719e-02,
350, -3.732089e+03, -3.732089e+03, 0.000000e+00,1.700662e+06,8.538235e+02,3.624991e+01,7.285245e-01,1.778547e+05,2.994593e+02,1.072938e+01,9.742357e-01,3.473009e+00,-1.396469e+00,-2.425654e-01,2.764529e+01,2.900159e+00,4.842292e+00,3.377987e-01,2.690029e+00,9.208468e-01,1.438432e+00,9.368204e-01,2.332657e+00,-2.823570e+00,-3.434490e-03,
360, -4.099652e+03, -4.099652e+03, 0.000000e+00,1.719881e+06,8.544745e+02,3.587207e+01,7.254565e-01,1.301521e+05,2.579894e+02,8.988170e+00,9.811460e-01,3.519644e+00,-1.400869e+00,-2.719755e-01,3.239301e+01,2.958128e+00,5.151635e+00,2.240744e-01,2.507022e+00,9.004755e-01,1.400734e+00,9.411186e-01,2.360612e+00,-2.836331e+00,2.504924e-02,
370, -4.114171e+03, -4.114171e+03, 0.000000e+00,1.676911e+06,8.449999e+02,3.539845e+01,7.323158e-01,1.324299e+05,2.604498e+02,9.108163e+00,9.808160e-01,3.565840e+00,-1.416324e+00,-2.818225e-01,3.834515e+01,3.166032e+00,5.677139e+00,8.149983e-02,2.423834e+00,8.881185e-01,1.377045e+00,9.430724e-01,2.397537e+00,-2.832996e+00,-6.700676e-03,
380, -4.178439e+03, -4.178439e+03, 0.000000e+00,1.671119e+06,8.435885e+02,3.532900e+01,7.332403e-01,1.263803e+05,2.549044e+02,8.890149e+00,9.816924e-01,3.613796e+00,-1.440223e+00,-2.794629e-01,3.421339e+01,2.983492e+00,5.336248e+00,1.804700e-01,2.372627e+00,8.826525e-01,1.366185e+00,9.442751e-01,2.429531e+00,-2.831456e+00,-1.226474e-02,
390, -4.234200e+03, -4.234200e+03, 0.000000e+00,1.694591e+06,8.472996e+02,3.542866e+01,7.294935e-01,1.218894e+05,2.500507e+02,8.708584e+00,9.823429e-01,3.661242e+00,-1.462530e+00,-2.803819e-01,3.460110e+01,2.987442e+00,5.359125e+00,1.711828e-01,2.344124e+00,8.809913e-01,1.361811e+00,9.449445e-01,2.454815e+00,-2.839978e+00,2.992592e-02,
