epoch, ELBO, lpy, lpg,MSETest0,MAETest0,MAPETest0,R2Test0,MSETrain0,MAETrain0,MAPETrain0,R2Train0,tau0,ls0,amp0,MSETest1,MAETest1,MAPETest1,R2Test1,MSETrain1,MAETrain1,MAPETrain1,R2Train1,tau1,ls1,amp1,
140, 2.258976e+03, 2.258976e+03, 0.000000e+00,5.994098e+06,2.164454e+03,1.606976e+02,7.414024e-03,6.383747e+06,2.243464e+03,1.882871e+02,1.918336e-02,1.865496e-02,-1.805822e-01,-3.481864e-01,3.552064e+01,2.893709e+00,5.368600e+00,3.219516e-01,1.657778e+01,2.260680e+00,3.624826e+00,4.909330e-01,5.997483e-01,-1.522664e+00,-1.549653e-01,
150, 2.214088e+03, 2.214088e+03, 0.000000e+00,5.992923e+06,2.163809e+03,1.606883e+02,7.608715e-03,6.383119e+06,2.243262e+03,1.883072e+02,1.927989e-02,1.869554e-02,-1.896859e-01,-3.847748e-01,3.656158e+01,2.921184e+00,5.419915e+00,3.020813e-01,1.574678e+01,2.193130e+00,3.514817e+00,5.164511e-01,6.284573e-01,-1.705763e+00,-6.069934e-02,
160, 2.189263e+03, 2.189263e+03, 0.000000e+00,5.991078e+06,2.163340e+03,1.606313e+02,7.914230e-03,6.382945e+06,2.243330e+03,1.882878e+02,1.930660e-02,1.869606e-02,-1.989646e-01,-4.211719e-01,3.516126e+01,2.828381e+00,5.264224e+00,3.288118e-01,1.483453e+01,2.102505e+00,3.371851e+00,5.444642e-01,6.730719e-01,-1.860367e+00,-2.189957e-02,
170, 2.153273e+03, 2.153273e+03, 0.000000e+00,5.994271e+06,2.162999e+03,1.606063e+02,7.385388e-03,6.383685e+06,2.243420e+03,1.883210e+02,1.919285e-02,1.864055e-02,-2.081640e-01,-4.577305e-01,3.268242e+01,2.713696e+00,5.044073e+00,3.761300e-01,1.372026e+01,1.989307e+00,3.193887e+00,5.786809e-01,7.410477e-01,-1.987134e+00,-6.638799e-02,
180, 2.181938e+03, 2.181938e+03, 0.000000e+00,5.992089e+06,2.162741e+03,1.606162e+02,7.746747e-03,6.382934e+06,2.243199e+03,1.883231e+02,1.930832e-02,1.866695e-02,-2.137148e-01,-4.978338e-01,3.538167e+01,2.818740e+00,5.257046e+00,3.246044e-01,1.485615e+01,2.086149e+00,3.355873e+00,5.438005e-01,7.442505e-01,-2.118106e+00,-6.811691e-02,
190, 2.081056e+03, 2.081056e+03, 0.000000e+00,5.990021e+06,2.162466e+03,1.606072e+02,8.089193e-03,6.382378e+06,2.243106e+03,1.883230e+02,1.939368e-02,1.891026e-02,-2.166324e-01,-5.401224e-01,2.758054e+01,2.464808e+00,4.572016e+00,4.735190e-01,1.171893e+01,1.824094e+00,2.933843e+00,6.401375e-01,7.255947e-01,-2.259698e+00,-2.645478e-02,
200, 1.992357e+03, 1.992357e+03, 0.000000e+00,5.987777e+06,2.161891e+03,1.605883e+02,8.460873e-03,6.381618e+06,2.242898e+03,1.883343e+02,1.951042e-02,1.888445e-02,-2.220269e-01,-5.803407e-01,2.392977e+01,2.350136e+00,4.273738e+00,5.432080e-01,1.014150e+01,1.692938e+00,2.720051e+00,6.885768e-01,9.092470e-01,-2.417860e+00,3.145995e-02,
210, 1.832886e+03, 1.832886e+03, 0.000000e+00,5.986907e+06,2.160293e+03,1.606290e+02,8.604957e-03,6.382349e+06,2.242552e+03,1.884782e+02,1.939817e-02,1.901400e-02,-2.321539e-01,-6.170218e-01,1.729399e+01,2.004573e+00,3.554075e+00,6.698775e-01,7.043118e+00,1.399356e+00,2.238452e+00,7.837214e-01,1.089711e+00,-2.615115e+00,1.018749e-01,
220, 1.757836e+03, 1.757836e+03, 0.000000e+00,5.972783e+06,2.156346e+03,1.607538e+02,1.094380e-02,6.397816e+06,2.244358e+03,1.887992e+02,1.702171e-02,1.746218e-02,-2.465066e-01,-6.521020e-01,1.575414e+01,1.915548e+00,3.367366e+00,6.992716e-01,6.022686e+00,1.288896e+00,2.054966e+00,8.150566e-01,1.292485e+00,-2.799322e+00,2.635294e-02,
230, 1.785949e+03, 1.785949e+03, 0.000000e+00,5.966975e+06,2.153898e+03,1.608929e+02,1.190553e-02,6.394384e+06,2.243378e+03,1.890412e+02,1.754899e-02,1.665426e-02,-2.065791e-01,-7.317453e-01,1.415301e+01,1.849273e+00,3.197742e+00,7.298352e-01,5.088181e+00,1.193796e+00,1.880505e+00,8.437532e-01,1.478997e+00,-2.970601e+00,-4.049234e-02,
